"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: March 2012 - May 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/14/2013","","","","","",""

"","","","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013"
"87","[P](U)","    Meredith Digital","21,697","41,851","42,132","41,749","42,362","42,587","42,784","50,330","51,144","59,585","52,518","47,036","51,994","43,059","44,988"
"88","[P]","    Gretech Corp.","62,192","59,593","59,908","58,690","57,698","56,847","55,332","54,762","53,372","54,619","55,639","46,799","43,780","42,921","44,780"
"89","[P]","    Technorati Media","122,967","120,462","123,727","112,688","111,714","114,410","109,892","88,851","82,650","84,149","87,499","64,448","81,390","47,089","44,567"
"90","[P](u)","    Disney Online","52,427","49,343","49,669","50,044","50,478","49,300","48,010","49,148","44,133","44,451","42,331","40,327","48,469","43,980","44,509"
"91","[P](U)","    YELP.COM","34,180","33,837","35,158","34,984","35,269","37,738","36,521","38,361","37,788","38,856","43,025","41,155","44,259","42,620","43,692"
"92","[P]","    GANJI.COM","27,543","24,345","21,379","21,421","26,610","26,034","25,349","26,383","26,763","25,733","25,607","19,091","33,858","42,229","43,446"
"93","[P](u)","    OLX Inc.","55,081","53,225","56,140","52,514","53,045","50,606","52,659","55,401","53,345","47,010","50,245","44,185","51,306","47,173","42,996"
"94","[P]","    NETFLIX.COM","34,251","33,343","35,518","34,029","37,007","34,401","36,453","36,829","36,174","40,653","40,912","39,718","45,163","42,470","42,593"
"95","[P](U)","    Gawker Media","32,296","31,402","29,752","29,793","29,456","35,061","39,390","39,033","33,405","39,472","43,325","38,450","38,628","39,753","42,259"
"96","[P]","    China Construction Bank","21,816","20,486","20,182","20,707","22,852","24,609","25,294","25,534","28,497","30,794","31,335","24,127","27,718","39,557","42,237"
"97","[P]","    Ctrip.com International","14,020","13,806","14,432","17,891","19,901","20,445","22,861","22,978","22,112","22,694","27,214","23,357","26,778","41,707","42,200"
"98","[P]","    HEXUN.COM","20,913","21,638","20,709","21,123","25,302","24,178","34,546","31,926","35,533","33,434","30,802","16,420","26,816","40,685","42,043"
"99","[P]","    120ASK.COM","13,705","14,667","15,676","16,541","18,763","19,010","18,402","20,653","21,507","20,619","21,357","16,866","24,520","37,117","41,891"
"100","[P]","    DANGDANG.COM","33,144","26,637","28,808","37,925","22,851","26,787","29,785","30,052","33,064","30,134","26,241","18,602","27,190","36,036","41,699"
"101","[P](u)","    SheKnows","32,857","32,690","34,075","35,307","37,619","39,263","39,321","41,760","39,073","42,392","43,227","37,493","39,554","41,270","41,121"
"102","[P](U)","    Internet Brands, Inc.","43,794","43,846","44,800","41,680","41,071","43,612","42,012","43,732","40,146","41,035","44,422","37,798","41,203","40,348","40,956"
"103","[P](U)","    AlloCine Sites","27,176","27,401","26,348","27,627","28,360","28,011","27,698","30,317","32,107","34,512","35,202","34,013","35,536","39,696","40,144"
"104","[P](u)","    Discovery Digital Media Sites","40,159","38,051","38,186","32,818","32,125","35,453","37,466","42,885","41,214","36,932","40,169","36,197","37,098","36,907","40,037"
"105","[P]","    CyberAgent","44,582","42,784","43,723","43,432","44,658","44,562","43,954","41,774","41,099","40,549","40,457","36,605","39,956","38,603","39,469"
"106","[P]","    Hewlett Packard","39,695","35,919","35,892","34,283","38,109","36,218","37,893","37,844","37,284","37,728","40,566","34,408","40,217","42,779","39,334"
"107","[P](U)","    T365 - Tribune","43,273","40,968","40,344","37,066","38,963","42,879","43,304","45,060","43,567","42,470","41,095","40,299","37,147","39,300","39,052"
"108","[P]","    FUNSHION.COM","20,457","16,280","16,334","17,449","17,741","16,980","21,192","22,885","26,553","31,611","33,369","24,340","27,515","37,993","39,042"
"109","[P]","    United-Internet Sites","37,358","37,001","36,352","35,532","37,311","38,207","35,963","36,385","35,442","36,604","37,544","35,756","38,716","38,624","38,748"
"110","[P]","    NTT Group","44,091","41,342","43,102","41,720","42,538","42,495","42,149","40,975","39,923","39,816","40,920","37,672","39,032","37,352","38,162"
"111","[P]","    39.NET","16,944","14,683","12,481","12,274","15,193","16,860","16,735","17,748","18,023","18,675","20,040","16,815","23,587","35,911","38,099"
"112","[P](u)","    Time Warner (Excl. Turner/WB)","36,936","37,316","38,331","37,608","25,171","27,106","26,373","28,277","26,928","27,652","38,565","37,039","38,466","39,238","38,053"
"113","[P](U)","    Monster, Inc.","51,183","43,699","44,312","42,031","45,630","45,463","45,133","49,367","45,518","39,484","48,163","43,548","44,510","42,765","37,438"
"114","[P](u)","    Geeknet","42,410","40,299","40,107","39,172","37,769","38,687","40,086","43,785","42,101","42,956","44,156","40,330","43,450","38,152","36,937"
"115","[P](U)","    Times Internet Limited","28,061","28,474","30,189","28,994","31,147","32,063","32,368","35,302","34,290","35,723","36,160","32,919","35,096","35,467","36,747"
"116","[P](u)","    Everyday Health","37,125","35,109","35,418","33,409","33,359","36,791","34,236","38,196","40,637","35,763","39,259","36,666","38,930","37,313","36,744"
"117","[P](u)","    YP Local Media Network","36,451","35,416","37,990","34,423","35,316","36,531","34,235","35,788","34,403","32,216","31,928","30,762","33,743","35,195","36,398"
"118","[P](U)","    WORDREFERENCE.COM","17,733","16,573","18,354","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517","36,020","36,206"
"119","[P]","    UPLOADED.NET","40,113","32,793","31,062","27,983","27,193","17,011","124","72","34,139","34,349","35,095","34,848","38,248","34,754","35,726"
"120","[P](u)","    The Washington Post Company","32,358","31,000","28,803","28,030","27,984","35,805","32,519","38,019","35,196","34,445","33,057","32,718","34,550","37,170","35,507"
"121","[P]","    SouFun.com Limited","25,959","21,270","22,412","25,505","27,312","28,564","18,525","18,845","20,383","19,441","15,579","15,717","23,996","33,450","34,770"
"122","[P](u)","    Liberty Interactive Corporation","27,588","29,241","33,628","27,683","26,557","28,913","29,859","35,649","34,966","34,849","29,314","31,623","28,368","27,509","34,677"
"123","[P]","    Alloy Digital Properties","55,427","39,928","42,355","36,922","37,259","36,991","29,967","33,750","34,008","36,204","34,467","30,881","34,888","37,320","34,551"
"124","[P]","    Kering","36,221","34,644","36,424","34,675","34,202","31,530","33,674","34,408","35,983","37,643","34,872","32,579","33,975","34,311","34,310"
"125","[P]","    Dwango Co., Ltd.","36,101","35,600","36,314","36,368","36,616","36,781","36,204","35,955","34,313","34,682","35,084","32,951","34,701","34,337","34,300"
"126","[P]","    Otto Gruppe","34,943","31,634","33,552","30,261","31,065","30,517","32,686","35,150","38,975","36,708","36,970","33,935","39,220","35,087","33,411"
"127","[P](U)","    Scripps Networks Interactive Inc.","30,780","31,499","31,127","30,576","31,569","33,748","33,869","35,979","40,436","42,385","39,009","35,031","37,715","34,088","33,410"
"128","[P]","    Real.com Network","52,619","49,663","57,995","59,874","55,859","41,768","40,761","44,298","39,766","44,656","41,034","35,094","39,992","36,622","33,205"
"129","[P](u)","    IG Portal","76,505","68,069","68,891","67,373","64,613","31,297","30,577","31,514","29,721","28,809","30,007","31,409","32,633","32,395","32,988"
"130","[P](u)","    Prisa","37,956","36,303","35,689","34,546","28,804","28,728","30,226","32,401","30,531","26,720","29,956","29,932","31,538","33,010","32,609"
"131","[P]","    Hubert Burda Media","33,741","32,753","33,500","31,841","32,524","32,073","32,269","31,917","31,592","33,176","36,088","32,801","35,575","31,404","32,484"
"132","[P](u)","    Dow Jones & Company","32,781","31,891","33,348","33,050","33,521","37,355","36,567","40,027","37,683","31,365","35,024","32,357","33,980","35,226","32,307"
"133","[P]","    SCRIBD.COM","12,374","12,979","25,890","15,274","13,797","15,269","17,801","21,414","19,332","12,972","14,930","16,539","18,830","30,161","31,593"
"134","[P]","    Rambler Media","24,431","23,099","23,662","23,783","23,047","22,724","24,378","26,056","26,614","26,239","26,768","28,398","31,373","30,787","31,470"
"135","[P]","    DUOWAN.COM","17,090","16,298","14,972","17,101","20,970","21,101","18,963","21,168","22,237","23,552","23,767","21,981","22,653","28,676","31,304"
"136","[P](U)","    DEVIANTART.COM","42,562","41,452","41,941","39,913","38,924","40,507","40,542","43,687","41,705","43,822","45,380","30,010","32,092","31,705","30,934"
"137","[P]","    CDC Corporation Sites","16,251","15,456","15,504","14,816","16,335","17,946","21,914","18,123","18,625","18,799","19,662","15,475","18,901","30,637","30,026"
"138","[P](u)","    Lycos Global Search And Media","38,465","35,528","36,213","32,859","34,487","36,380","33,889","34,196","31,062","28,941","29,543","27,799","31,912","29,237","29,615"
