"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2011 comScore, Inc"
"","","","Time Period :: September 2010 - November 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/19/2011","","","","","",""

"","","","Sep-2010","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011"
"340","[P]","    Deutsche Post AG Sites","9,774","9,290","10,046","10,835","9,827","8,595","9,178","9,182","10,719","11,048","10,123","10,389","10,985","11,753","12,778"
"341","[P](u)","    MediaNews Group","13,616","12,666","15,062","13,214","13,874","13,262","15,774","13,892","13,357","12,770","12,496","13,312","13,749","14,623","12,764"
"342","[P]","    KDDI Corporation","12,594","12,767","12,349","11,307","13,006","12,775","12,570","11,853","12,598","12,197","13,069","12,925","13,728","15,303","12,715"
"343","[P](U)","    PBS","9,018","9,639","10,446","8,722","11,375","11,143","12,297","12,201","11,484","8,027","6,801","8,389","12,304","12,997","12,624"
"344","[P]","    Nike","11,679","11,238","11,546","11,628","10,256","9,846","11,901","11,858","11,883","11,987","11,766","13,263","10,775","11,557","12,623"
"345","[P]","    120ASK.COM","9,156","8,181","6,772","5,671","6,857","6,320","7,354","7,852","9,561","9,193","9,740","9,294","11,639","12,414","12,595"
"346","[P]","    Asahi Shimbun","9,761","9,679","9,414","9,873","8,134","6,982","14,646","9,433","10,156","9,006","11,890","11,567","12,620","12,499","12,589"
"347","[P]","    ARD Sites","12,001","11,555","11,995","12,661","12,666","11,680","13,392","10,895","12,799","11,695","11,732","12,026","12,613","12,882","12,386"
"348","[P]","    Canon Inc.","10,414","9,819","10,834","11,756","8,518","7,237","8,094","7,473","7,670","8,831","8,165","9,471","10,464","11,719","12,386"
"349","[P]","    RAYLI.COM.CN","4,041","3,473","3,133","2,422","2,744","3,455","4,057","3,325","3,287","3,066","2,578","3,319","3,865","6,467","12,339"
"350","[P]","    LVMH Sites","10,228","10,119","11,269","12,530","10,288","9,082","9,468","8,716","9,940","9,797","10,102","9,678","10,720","11,834","12,303"
"351","[P]","    Mainichi Shimbun","12,928","11,098","11,266","11,253","10,507","9,310","13,735","10,420","10,195","9,058","11,688","12,074","12,645","12,238","12,267"
"352","[P]","    MONOGRAFIAS.COM","11,341","11,489","11,491","6,248","6,283","8,856","10,547","9,456","11,711","9,862","7,263","10,979","12,687","12,843","12,260"
"353","[P](U)","    MyLife.com Sites","14,869","15,018","14,306","15,395","16,227","13,385","13,452","12,508","14,190","15,500","18,595","19,205","16,979","14,731","12,253"
"354","[P]","    FedEx","11,354","10,724","10,536","13,810","11,019","10,438","10,510","9,064","10,351","10,436","10,851","16,281","21,133","16,277","12,234"
"355","[P]","    L'Oreal Sites","13,132","11,264","10,528","9,032","9,529","9,849","11,702","12,287","12,612","10,626","13,291","10,857","11,390","12,908","12,179"
"356","[P]","    Acer Inc.","13,256","12,075","12,454","13,167","12,807","12,113","11,676","10,741","11,027","11,035","11,132","11,941","11,308","12,711","12,158"
"357","[P](u)","    Postmedia Network","13,762","14,296","14,579","14,255","14,258","13,346","14,672","12,019","12,730","14,007","11,421","11,590","12,016","12,103","12,006"
"358","[P]","    Maeil Business Newspaper","7,229","6,447","6,238","7,456","9,255","8,047","8,967","9,519","10,517","9,945","10,632","11,280","11,749","12,478","12,000"
"359","[P]","    Intuit","12,354","12,304","10,848","11,050","23,360","24,764","20,213","19,565","11,635","10,862","10,667","11,315","11,237","12,970","11,995"
"360","[P]","    VEOH.COM","13,311","13,621","12,752","13,060","13,056","11,647","11,479","10,856","12,764","12,452","13,543","13,526","12,887","13,275","11,994"
"361","[P]","    Virgin Group","10,669","10,674","10,394","10,432","11,523","10,878","10,569","9,760","11,506","10,976","11,680","11,891","11,628","11,798","11,978"
"362","[P]","    BearShare (App)","6,801","7,796","11,718","13,212","12,824","11,532","11,877","12,207","12,460","12,133","12,502","12,402","12,583","12,718","11,972"
"363","[P](U)","    COOKS.COM","9,996","10,970","13,190","14,998","11,673","9,883","10,260","10,394","10,194","9,646","10,234","10,192","9,727","10,126","11,905"
"364","[P]","    Home Retail Group","9,184","10,122","11,719","13,142","10,546","7,954","8,138","8,668","8,292","8,493","8,986","9,339","9,174","10,264","11,801"
"365","[P]","    Rising Corp. Limited","3,758","4,660","5,793","5,341","7,114","9,061","10,243","11,238","12,795","8,443","9,350","9,654","10,676","11,833","11,797"
"366","[P]","    Staples.com Sites","8,312","7,098","9,015","8,753","8,747","6,831","8,437","7,242","7,421","7,844","9,140","11,120","9,283","9,337","11,759"
"367","[P](U)","    Ziff Davis","4,962","4,210","6,665","6,457","6,266","7,396","7,870","7,651","8,853","8,996","8,543","9,615","9,836","11,169","11,718"
"368","[P]","    Carrefour Group","11,662","11,041","10,853","11,374","10,363","8,796","10,146","9,586","10,813","10,487","11,189","11,138","12,290","11,959","11,701"
"369","[P]","    Fotovista Group","14,462","14,304","16,528","18,304","13,639","10,273","9,520","7,277","8,260","8,608","8,921","8,672","8,386","9,595","11,698"
"370","[P]","    LOWES.COM","8,774","8,349","10,034","10,318","10,135","8,073","9,441","9,857","10,404","10,280","10,397","10,090","10,086","10,414","11,565"
"371","[P]","    HI5.COM","29,504","28,601","26,296","25,379","24,438","21,321","21,731","18,018","17,463","15,764","14,992","14,377","14,165","13,573","11,558"
"372","[P]","    KOOORA.COM","12,080","12,908","13,960","12,362","12,706","10,997","11,386","11,778","11,260","9,129","9,805","9,963","11,076","11,148","11,529"
"373","[P]","    Impress Group","8,189","8,729","8,443","8,951","8,570","7,687","8,500","7,881","8,488","8,943","10,373","10,237","11,592","12,579","11,526"
"374","[P]","    Vector Inc.","7,983","8,230","8,095","9,037","8,130","7,022","7,613","7,924","8,441","7,892","8,941","10,847","10,478","10,469","11,522"
"375","[P]","    39.NET","13,303","10,227","9,418","8,439","9,255","8,344","10,053","8,614","10,423","10,074","10,361","10,049","12,098","12,038","11,510"
"376","[P](U)","    Classified Ventures","9,460","9,308","9,275","9,057","12,703","11,841","12,623","12,669","11,922","12,839","13,694","13,173","12,206","11,737","11,474"
"377","[P]","    Barnes & Noble","8,379","8,737","9,820","11,803","10,676","7,544","7,634","6,578","7,196","7,622","9,216","10,757","9,013","8,712","11,461"
"378","[P]","    6.CN","11,901","9,911","8,740","9,448","10,046","10,723","9,976","10,039","10,314","12,890","12,786","11,326","10,497","10,981","11,383"
"379","[P]","    freenet AG","14,591","14,854","11,492","10,689","10,938","9,294","9,595","10,074","9,973","10,172","9,571","12,637","12,808","12,366","11,341"
"380","[P]","    Credit Agricole","11,593","11,321","11,772","11,581","13,857","12,392","12,253","11,928","12,351","11,285","11,595","11,855","11,732","12,023","11,308"
"381","[P]","    TORRENTREACTOR.NET","15,256","13,943","11,574","11,241","10,822","10,737","11,468","11,467","13,139","11,433","10,995","9,174","10,808","12,480","11,240"
"382","[P]","    Kayak.com Network","9,327","9,393","9,218","8,997","10,902","9,650","10,945","11,051","11,868","12,434","13,457","12,188","12,340","12,404","11,235"
"383","[P]","    CHINA.COM.CN","8,756","7,662","6,575","5,343","5,309","5,985","7,515","7,004","7,687","8,299","9,106","9,004","9,057","10,206","11,200"
"384","[P]","    Onlinedown Sites","9,842","8,426","7,718","8,511","6,886","7,224","8,621","7,027","9,415","8,324","10,152","8,644","9,731","11,734","11,173"
"385","[P]","    Sanoma Group","11,080","11,632","11,607","11,577","12,212","11,394","11,426","11,052","11,662","13,208","11,192","11,049","10,612","10,951","11,173"
"386","[P](U)","    KONGREGATE.COM","6,501","7,587","8,758","10,258","8,945","8,282","8,433","8,909","9,589","9,958","10,769","11,176","9,903","10,657","11,144"
"387","[P]","    Seoul Newspaper","10,058","9,402","7,934","8,697","9,491","8,546","9,442","9,095","9,650","9,815","9,213","9,977","10,878","12,085","11,126"
"388","[P]","    Yellow Pages Group","11,734","11,236","11,124","10,924","11,259","10,342","11,416","11,036","11,151","11,142","11,360","10,481","10,891","10,990","11,016"
"389","[P]","    Tesco Stores","7,876","7,625","9,502","9,217","8,111","7,396","7,292","7,942","7,827","6,790","7,156","7,771","7,985","8,944","11,013"
"390","[P]","    Amadeus Global Travel Distribution","12,951","12,047","11,686","11,022","14,912","13,338","12,784","11,889","13,598","14,979","13,793","12,898","11,668","11,376","11,012"
"391","[P]","    PriceGrabber","11,320","10,339","11,642","13,021","11,364","8,913","9,779","8,762","8,679","8,681","8,937","9,800","9,077","10,558","11,002"
"392","[P]","    Agricultural Bank of China","6,561","6,333","7,242","6,278","6,696","5,563","6,917","6,414","7,387","7,981","8,338","9,130","9,945","10,998","10,996"
"393","[P]","    Ctrip.com International","10,398","7,306","6,666","7,022","7,652","7,390","7,448","7,831","9,375","8,796","11,874","11,109","12,645","12,650","10,987"
"394","[P]","    Chinabyte Technology Co.","11,784","9,752","8,641","6,316","6,586","5,572","6,491","5,879","6,331","8,587","9,839","8,811","9,647","10,285","10,966"
"395","[P]","    Viva street Classifieds","9,779","9,273","8,912","8,207","10,363","9,213","9,744","8,850","10,200","9,790","9,924","10,887","10,145","10,434","10,910"
"396","[P]","    Softissimo","8,784","8,939","9,466","7,928","8,430","7,227","8,059","7,932","8,523","7,433","6,343","7,207","9,632","11,038","10,886"
"397","[P]","    World of Warcraft (App)","11,961","11,885","10,966","12,094","12,072","11,016","10,040","9,490","9,755","10,149","11,312","10,325","10,279","10,870","10,864"
"398","[P]","    Vuze Sites","10,581","11,375","11,697","11,515","11,365","10,352","10,689","10,293","10,923","10,958","11,484","11,043","10,804","11,319","10,863"
"399","[P]","    Grupo Santander","9,546","9,246","9,354","10,032","9,927","9,130","9,464","9,110","9,400","9,020","9,843","10,176","10,483","11,864","10,851"
"400","[P]","    KT Group","9,789","8,998","9,900","11,372","10,580","6,995","6,694","6,739","8,862","8,983","9,124","8,966","8,347","9,097","10,825"
"401","[P]","    SCRIBD.COM","16,279","17,609","15,425","12,505","8,714","9,567","11,461","10,032","11,982","11,131","8,731","8,589","8,395","9,350","10,788"
"402","[P]","    Groupe Amaury","8,625","8,748","8,609","8,590","10,278","9,276","9,348","8,429","10,345","9,145","9,791","9,696","10,546","10,934","10,777"
"403","[P]","    Infospace Network","17,591","18,432","16,346","15,948","17,148","13,983","12,845","11,602","11,536","9,920","12,031","11,001","10,627","11,494","10,765"
"404","[P]","    Trovit Sites","13,007","13,221","15,196","12,253","15,736","12,894","13,061","10,929","12,530","11,701","11,486","11,554","11,066","11,348","10,716"
"405","[P]","    Nissan","9,371","10,168","8,517","7,778","9,160","8,750","8,272","6,532","7,555","7,508","8,518","8,997","11,529","11,945","10,716"
"406","[P](u)","    ROGERS","7,970","7,931","7,924","9,716","10,433","10,008","10,843","9,659","9,700","9,496","9,064","10,356","10,078","10,701","10,686"
"407","[P]","    Nestle","10,637","11,448","11,264","11,127","8,586","7,213","7,733","8,186","9,301","9,428","8,483","9,226","9,302","9,994","10,675"
"408","[P]","    Lojas Americanas","10,416","10,764","10,553","10,935","10,762","9,313","9,611","9,258","9,901","9,412","9,529","9,556","9,574","10,219","10,635"
"409","[P]","    Le Monde Sites","8,201","8,351","8,055","7,711","9,542","8,102","9,236","8,156","10,336","8,220","8,540","8,040","8,966","10,753","10,624"
"410","[P]","    BAIXING.COM","5,761","3,359","3,398","2,999","4,886","4,339","4,996","6,478","8,817","11,309","13,670","14,298","15,512","13,239","10,602"
"411","[P]","    LIVESCORE.COM","8,857","9,600","9,778","9,275","9,038","9,741","9,674","9,939","9,362","4,669","5,565","9,399","11,427","11,382","10,601"
"412","[P](U)","    Dominion Enterprises","10,620","10,009","9,260","8,931","11,951","11,406","13,324","13,417","13,302","13,436","14,079","13,735","12,234","11,754","10,582"
"413","[P](u)","    Toshiba Corp","6,866","6,613","6,671","6,547","7,818","7,802","8,268","7,789","7,107","7,200","8,689","8,924","9,134","10,485","10,582"
"414","[P]","    BMW","7,306","7,791","7,034","7,116","6,786","6,015","7,369","7,173","8,052","8,223","7,292","7,666","9,161","10,924","10,568"
"415","[P](U)","    LEGACY.COM*","8,777","8,974","8,957","8,819","10,567","9,304","10,000","9,951","9,302","9,960","10,164","10,891","10,491","10,757","10,539"
"416","[P]","    IDT Corporation","11,286","11,680","11,482","11,794","11,586","10,008","10,434","10,306","11,186","10,944","10,960","11,203","11,539","11,113","10,538"
"417","[P]","    Sankei Shimbun","13,635","13,342","12,306","10,560","10,657","10,150","13,197","10,633","11,294","10,490","10,404","11,158","11,618","11,075","10,507"
"418","[P]","    DUOTE.COM","7,042","6,434","6,246","6,249","6,151","5,614","6,737","4,680","5,931","6,295","7,120","8,032","7,842","9,712","10,455"
"419","[P]","    Hyundai Motors Inc.","8,493","7,670","7,825","7,814","9,154","8,920","10,332","8,467","8,934","8,659","8,860","9,062","11,167","11,962","10,418"
"420","[P](u)","    Weblogs SL Sites","7,549","7,925","7,748","7,471","7,089","6,526","7,156","6,780","7,373","7,246","7,137","7,714","8,233","9,514","10,408"
"421","[P]","    TQ Digital Entertainment","7,940","6,839","5,911","6,201","6,774","6,454","6,856","8,035","8,414","9,482","10,472","10,579","9,814","11,268","10,393"
"422","[P](u)","    CBC-Radio Canada Sites","10,199","10,966","11,194","9,769","10,981","9,438","11,465","10,880","11,472","10,992","9,104","10,153","10,782","10,906","10,393"
"423","[P]","    Big Fish Games Sites","11,030","10,594","10,534","11,379","12,162","11,137","10,797","10,298","11,466","11,468","11,351","10,627","10,355","10,230","10,391"
"424","[P]","    Intelius","15,998","12,809","10,188","11,299","12,436","10,180","10,304","10,791","11,197","10,920","11,263","11,611","11,807","11,095","10,371"
"425","[P]","    Internet Initiative Japan","10,031","9,997","9,654","9,134","8,822","8,014","9,144","7,939","8,832","8,482","9,266","10,372","9,938","10,644","10,333"
"426","[P]","    Groupe SNCF","9,236","10,489","9,090","9,495","9,466","8,360","10,309","9,863","10,297","10,681","11,507","10,872","10,419","11,786","10,328"
"427","[P](u)","    Hollywood.com Sites","9,151","10,029","10,050","9,431","9,412","8,259","8,860","10,446","10,450","9,229","10,931","9,494","9,635","8,984","10,321"
"428","[P]","    DIPAN.COM","2,789","1,520","668","2,838","4,332","4,774","3,633","3,339","1,123","1,793","3,312","11,992","12,735","11,026","10,321"
"429","[P]","    MULTIPLY.COM","11,419","11,470","11,596","10,312","10,592","9,402","10,034","9,517","9,705","9,544","9,313","9,856","10,204","10,521","10,283"
"430","[P]","    CANALBLOG.COM*","8,121","8,511","8,384","7,814","7,728","7,476","7,625","7,690","8,263","7,811","7,083","8,249","8,740","10,199","10,266"
"431","[P]","    Groupe Auchan","6,470","8,286","8,851","9,380","8,718","6,133","7,239","6,806","7,195","7,321","6,789","7,081","7,003","7,977","10,261"
"432","[P](u)","    General Mills","2,796","2,309","2,412","8,922","7,685","6,589","6,104","6,444","5,558","6,070","6,125","6,706","7,769","9,366","10,255"
"433","[P]","    Midasplayer.com Ltd.","8,493","7,610","7,904","8,317","8,629","8,046","7,434","9,323","7,411","7,244","8,283","8,377","7,343","7,795","10,207"
"434","[P]","    Yum! Brands Inc.","9,748","10,042","8,370","10,537","11,970","10,781","9,726","9,012","9,489","9,547","12,185","10,789","10,910","11,193","10,199"
"435","[P]","    The Royal Bank Of Scotland","11,907","11,330","11,602","10,993","11,709","11,322","11,616","10,486","10,588","9,854","9,637","10,196","10,188","11,063","10,131"
"436","[P]","    DEEZER.COM","7,635","8,110","8,461","9,168","8,342","8,407","8,106","8,444","8,494","8,172","7,861","9,914","10,218","11,650","10,120"
"437","[P]","    Dogan Online","7,787","8,348","8,070","8,585","8,806","8,622","9,260","8,930","8,473","8,248","7,993","8,745","9,070","10,250","10,108"
"438","[P](U)","    24H.COM.VN","3,306","3,391","3,598","3,663","3,722","3,740","4,186","3,750","5,821","6,394","6,730","6,812","9,609","9,956","10,105"
"439","[P]","    Grupo Carso","9,796","9,598","10,090","10,416","9,944","9,215","10,046","9,986","9,962","9,858","10,025","10,528","10,392","11,290","10,077"
"440","[P]","    USAFIS.ORG","12,897","8,995","4,249","5,611","6,717","6,415","7,759","9,080","11,175","10,008","12,828","10,493","7,523","10,033","10,008"
"441","[P]","    PANDORA.TV","13,045","11,769","11,803","12,897","15,746","15,284","15,475","11,544","9,752","9,479","9,403","9,802","9,629","9,860","9,948"
"442","[P]","    Korea Economic Daily","8,311","8,667","7,472","7,620","8,894","7,552","7,624","8,531","9,530","10,109","9,406","10,316","10,330","11,214","9,939"
"443","[P]","    Hankook Ilbo","7,810","8,299","7,737","7,999","8,320","8,058","9,324","9,255","10,254","9,125","9,719","10,138","10,174","11,108","9,888"
"444","[P]","    Jabbar Internet Group","9,019","9,974","9,057","9,215","9,226","9,006","9,231","8,706","8,779","7,882","7,918","7,180","7,946","9,208","9,857"
"445","[P]","    News International","12,254","10,348","9,872","9,047","9,782","8,103","8,828","9,025","10,933","10,900","10,136","11,113","9,656","10,368","9,842"
"446","[P]","    Zazzle","7,782","8,795","8,660","8,789","7,569","6,781","6,971","6,986","7,511","7,318","7,436","7,293","7,602","9,390","9,840"
"447","[P]","    Groupe Spir Communication","19,338","10,427","10,376","9,216","9,708","9,565","10,147","8,954","10,091","9,339","9,127","9,378","9,344","9,803","9,825"
"448","[P]","    Costco Wholesale Corporation","7,557","7,493","8,707","9,502","7,383","6,178","6,748","6,222","7,121","7,014","7,499","7,973","7,479","7,876","9,808"
"449","[P]","    Honda","10,278","10,634","9,652","8,300","9,110","10,392","10,925","8,406","9,007","9,396","9,615","9,652","10,611","11,719","9,786"
"450","[P](U)","    HealthGrades","13,090","13,334","13,945","12,488","14,769","13,250","14,022","12,344","11,600","11,121","11,006","13,666","11,290","10,550","9,779"
"451","[P]","    OPENDNS.COM","9,566","8,972","9,275","9,294","9,189","8,551","9,326","8,507","10,080","9,912","9,685","10,166","10,480","10,069","9,770"
"452","[P]","    Lloyds Banking Group plc","8,941","8,569","8,668","8,503","8,885","9,029","8,989","8,920","9,495","9,406","9,658","9,368","9,417","10,051","9,757"
"453","[P]","    Gruppo Mediaset","7,529","8,957","8,709","7,793","9,902","9,942","9,940","8,561","9,157","8,093","8,077","7,690","8,304","9,589","9,739"
"454","[P](u)","    Fairfax Media","9,597","10,917","11,252","9,933","10,718","10,118","11,139","9,275","10,688","10,153","9,626","9,886","9,942","10,613","9,739"
"455","[P]","    M5ZN.COM","14,254","13,821","12,265","10,856","11,712","11,495","11,085","10,112","10,778","10,320","9,391","10,242","9,618","9,754","9,713"
"456","[P]","    Indian Railways","8,192","8,733","8,827","8,428","8,664","8,019","8,499","8,591","9,896","8,864","8,940","9,232","8,997","9,852","9,683"
"457","[P]","    FILEHIPPO.COM","8,207","8,508","8,413","7,465","7,742","7,103","8,218","7,488","8,262","8,906","8,473","8,904","9,369","11,433","9,675"
"458","[P]","    NHK Group","7,790","7,505","8,245","7,355","7,814","6,441","15,707","10,213","7,775","7,206","8,403","9,506","10,512","9,611","9,671"
"459","[P](U)","    Source Interlink Companies","13,715","14,448","14,439","13,188","14,357","13,612","13,812","12,570","11,991","11,439","11,269","11,393","11,058","10,420","9,650"
"460","[P]","    CJ Group","11,688","10,315","9,591","10,670","10,369","9,814","9,069","9,071","9,240","7,394","8,740","9,148","9,582","9,089","9,637"
"461","[P]","    Cisco Systems, Inc.","8,744","8,863","8,037","7,766","8,526","7,777","8,265","7,739","7,330","8,364","7,766","8,006","9,140","10,121","9,556"
"462","[P]","    QIDIAN.COM","7,485","6,852","5,537","5,958","5,925","6,998","6,636","6,342","8,432","9,913","9,994","9,704","8,643","10,275","9,552"
"463","[P]","    Stateless Systems","4,978","5,495","6,258","6,923","5,272","4,852","5,236","5,209","5,897","6,411","6,806","7,097","6,834","8,127","9,547"
"464","[P]","    TIMEANDDATE.COM","7,661","7,987","7,285","7,650","7,956","6,343","8,015","6,706","7,628","7,759","7,538","8,425","8,385","9,913","9,472"
"465","[P]","    Arcandor AG","10,794","10,089","9,489","8,481","9,504","9,408","10,407","11,027","11,840","14,205","10,593","9,674","9,442","8,963","9,392"
"466","[P]","    Berkshire Hathaway Inc.","8,013","8,105","7,795","7,931","8,447","7,372","7,604","6,847","7,826","7,472","8,727","8,929","8,356","8,833","9,330"
"467","[P]","    51JOB.COM","7,416","6,095","6,428","5,367","4,736","6,642","7,053","6,271","7,427","6,970","7,726","7,498","7,250","8,191","9,298"
"468","[P]","    Dong-A Ilbo","7,543","6,689","6,608","6,522","6,975","6,469","7,752","7,737","8,667","8,154","8,686","8,918","9,179","10,471","9,254"
"469","[P]","    Unister GmbH","17,937","16,271","17,896","15,148","17,236","19,022","17,569","15,674","9,526","9,533","10,422","9,852","9,177","9,389","9,241"
"470","[P]","    PSA Peugeot Citroën","7,696","8,067","7,906","6,138","7,462","7,437","8,455","7,692","8,880","8,564","8,145","7,079","9,950","8,763","9,215"
"471","[P]","    Southwest Airlines Co.","8,803","9,473","9,569","9,803","10,911","8,951","9,108","8,009","8,797","9,661","9,849","8,677","8,483","8,985","9,196"
"472","[P]","    Barclays Bank","7,291","7,023","7,233","7,185","7,418","8,659","7,975","7,628","7,624","7,769","7,873","7,955","7,830","8,632","9,138"
"473","[P]","    ARCHIVE.ORG","6,156","6,364","6,098","5,562","5,707","5,518","5,817","5,426","7,508","6,314","6,040","8,000","7,948","7,742","9,133"
"474","[P]","    Societe Generale","7,661","7,384","8,018","7,838","8,679","7,881","8,365","7,618","8,714","9,171","8,792","9,299","9,244","9,531","9,088"
"475","[P]","    Kuaiche.com Sites","6,836","6,609","6,307","5,885","5,802","5,009","4,895","4,715","4,735","8,033","10,351","9,921","9,317","10,126","9,018"
"476","[P]","    Sparkassen-Finanzgruppe","8,613","8,552","8,331","8,367","8,364","8,577","8,567","8,000","8,237","7,830","8,251","8,310","8,337","8,781","9,008"
"477","[P]","    MADE-IN-CHINA.COM","6,630","6,439","6,422","5,181","5,282","5,097","5,633","5,446","6,793","6,677","6,217","6,998","7,003","8,197","8,973"
"478","[P]","    Coca-Cola Company","8,371","8,296","7,264","9,745","5,619","5,450","4,842","6,088","7,648","6,736","8,327","8,456","8,452","9,174","8,968"
"479","[P]","    CSDN.NET Sites","5,228","4,765","5,020","3,804","3,833","2,448","4,335","4,240","4,507","5,062","5,252","5,492","6,389","7,548","8,955"
"480","[P]","    Department of Commerce","11,361","9,741","8,855","9,775","11,310","10,177","10,532","8,842","9,685","8,998","8,533","12,899","10,443","9,448","8,949"
"481","[P]","    Nexon Corporation","6,842","6,115","6,776","7,683","7,671","6,632","5,757","5,492","6,345","6,260","8,581","9,240","8,558","8,570","8,932"
"482","[P](U)","    Grupo Televisa","7,695","7,568","7,575","7,040","7,773","7,857","8,652","8,364","9,138","8,244","8,266","8,688","8,824","9,614","8,914"
"483","[P]","    France Televisions Interactive","7,278","8,126","7,839","7,440","7,953","7,761","8,390","7,627","8,448","8,054","8,087","7,520","8,753","9,032","8,906"
"484","[P]","    DOMAINTOOLS.COM","5,922","6,891","5,482","5,782","7,608","6,839","7,395","6,793","6,173","6,154","6,311","6,641","7,938","8,465","8,860"
"485","[P](U)","    CollegeHumor Media","25,769","29,491","30,727","34,147","28,942","27,608","30,394","9,569","9,784","9,366","8,348","8,430","8,693","9,220","8,835"
"486","[P]","    Systemax Inc.","6,645","6,503","8,556","8,158","6,616","6,045","6,051","5,342","5,380","5,897","6,257","6,933","6,754","7,316","8,815"
"487","[P]","    Avon Products Inc.","8,226","7,966","8,732","8,043","7,770","7,506","8,071","7,291","7,762","7,588","7,602","7,158","7,485","8,321","8,802"
"488","[P](u)","    Naukri","5,739","5,579","5,360","5,403","5,927","5,921","6,182","6,141","7,318","7,581","9,154","8,111","8,269","7,777","8,797"
"489","[P](u)","    TV Guide Online Network","10,908","10,022","9,446","9,748","10,224","9,214","9,840","10,072","9,798","8,386","8,380","8,977","11,203","9,478","8,748"
"490","[P](u)","    Batanga","11,922","11,715","10,768","10,052","9,645","8,720","8,886","9,127","7,459","7,008","7,089","7,785","7,261","7,862","8,690"
"491","[P]","    Roularta Media Group","6,893","6,585","6,619","5,941","7,554","7,254","7,743","6,808","9,109","8,952","7,511","7,113","8,053","8,870","8,681"
"492","[P]","    Intel","8,434","7,123","8,210","7,866","5,999","4,988","7,204","7,812","5,687","9,190","7,470","6,227","9,559","8,010","8,674"
"493","[P]","    Take 2 Interactive","4,630","4,999","4,463","4,488","4,753","4,056","4,251","4,352","4,813","4,910","4,989","5,229","5,271","7,485","8,654"
"494","[P]","    CENTERBLOG.NET","6,283","7,074","7,694","7,606","7,909","7,060","6,245","6,585","7,336","7,344","6,670","6,631","7,050","8,293","8,645"
"495","[P]","    HC International Inc.","6,566","6,078","5,350","5,001","4,717","3,788","5,804","5,455","6,393","4,901","5,643","5,911","7,051","7,232","8,641"
"496","[P]","    EZINEARTICLES.COM","22,287","23,887","22,869","21,722","24,124","20,346","17,215","12,420","10,847","10,300","10,615","9,752","9,942","10,279","8,615"
"497","[P]","    KaiserGames GmbH","7,665","7,323","7,820","7,818","8,538","7,853","7,600","7,541","7,323","8,122","8,410","8,489","7,735","8,173","8,612"
"498","[P]","    NIKKEI","9,296","9,004","8,575","7,622","8,895","7,799","11,249","8,193","8,489","7,903","7,736","7,551","9,433","9,518","8,556"
"499","[P]","    SENDSPACE.COM","9,490","9,866","9,050","8,665","8,763","7,719","8,519","7,848","8,286","8,156","8,471","8,259","8,714","8,850","8,542"
"500","[P](u)","    Virgin Media","12,491","9,877","9,814","9,016","10,490","8,712","8,126","7,776","8,929","7,836","7,699","8,002","8,157","8,021","8,536"
"501","[P]","    WIKIMAPIA.ORG","12,850","12,390","11,193","11,364","12,370","10,900","12,064","10,826","12,665","12,818","12,757","12,324","12,833","10,641","8,531"
"502","[P]","    DIRECT.GOV.UK","7,979","7,530","7,087","6,082","8,248","7,550","7,911","7,538","7,669","7,545","7,799","9,080","8,304","9,094","8,514"
"503","[P](U)","    The Weather Network Meteomedia","8,088","7,144","8,565","9,434","9,533","9,913","9,515","9,326","9,920","9,977","10,182","10,423","9,303","8,462","8,474"
"504","[P]","    51.COM","9,114","10,890","10,347","6,486","5,212","4,044","7,053","6,368","8,493","8,851","11,976","15,772","8,560","8,278","8,468"
"505","[P]","    XE.COM","7,056","7,286","6,760","6,547","7,210","6,144","6,966","6,629","7,877","7,453","7,657","8,384","8,834","8,456","8,404"
"506","[P]","    NIC.IN","6,879","6,328","6,328","6,221","7,305","7,168","7,130","7,112","11,432","10,541","9,022","8,718","7,959","7,232","8,385"
"507","[P]","    WebMediaBrands Inc.","9,114","9,142","8,203","7,379","8,138","7,625","8,189","7,313","8,210","6,539","6,328","6,157","7,027","8,492","8,370"
"508","[P]","    National Lampoon Humor Network","7,429","7,330","7,117","8,548","9,350","7,541","7,542","8,566","7,244","7,923","9,796","9,378","7,995","8,325","8,367"
"509","[P]","    Coupons, Inc.","6,329","6,181","6,335","5,687","6,516","5,490","5,633","6,545","7,494","7,178","6,948","7,100","7,830","8,866","8,354"
"510","[P](u)","    TUI Group","9,302","7,846","7,210","6,586","11,584","9,335","9,640","9,213","10,077","11,911","12,531","10,944","8,836","9,140","8,341"
"511","[P]","    Domino's Pizza, Inc.","5,922","6,586","6,284","7,688","8,167","6,665","6,255","6,531","6,682","7,032","7,266","7,113","7,784","8,561","8,326"
"512","[P]","    ZHAOPIN.COM","6,979","5,894","6,045","4,115","3,863","5,936","6,761","5,579","6,071","5,187","6,535","5,652","7,068","7,283","8,323"
