"MEDIA TREND REPORT","","","Geography : Worldwide","","","","","","MyMetrix"
"","","","Location : All Locations","","","","","","MediaMetrix 2.0"
"","","","Time Period : June 2008 - August 2009","","","","","","(c)2009 comScore, Inc"
"","","","Target : Total Audience",
"","","","Media : 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",
"","","","Measures : Total Unique Visitors (000)",
"","","","Date : 9/29/2009",

"Items 1 to 1000","",""," Jun-2008"," Jul-2008"," Aug-2008"," Sep-2008"," Oct-2008"," Nov-2008"," Dec-2008"," Jan-2009"," Feb-2009"," Mar-2009"," Apr-2009"," May-2009"," Jun-2009"," Jul-2009"," Aug-2009",
"172","[P]","Weatherbug Property","20,819","23,464","25,350","25,563","24,992","25,382","27,126","26,152","24,604","24,340","20,042","19,226","18,849","19,478","20,860",
"173","[P]","Travelocity","14,622","14,014","12,378","10,777","10,729","9,714","9,836","12,611","12,781","14,016","13,268","11,801","20,032","23,336","20,773",
"174","[P]","Groupe TF1","12,453","12,779","13,914","13,398","14,157","14,318","14,207","15,589","16,519","18,314","18,675","18,589","19,588","20,104","20,680",
"175","[P]","China Mobile Sites","14,052","20,309","23,318","23,857","22,749","21,361","23,934","21,891","21,996","19,612","17,806","14,123","15,482","18,082","20,579",
"176","[P]","China Central Television Sites","7,881","14,584","30,820","18,847","17,721","17,449","18,591","18,787","20,524","18,666","17,855","16,704","19,274","20,347","20,567",
"177","[P]","Rambler Media","12,855","18,754","17,810","19,039","18,536","18,312","19,949","18,028","17,047","17,211","16,424","15,547","15,446","15,478","20,499",
"178","[P]","Experian Interactive","17,797","20,156","18,429","17,568","19,319","17,888","16,098","18,949","16,904","18,479","19,165","18,511","18,259","20,733","20,224",
"179","[P]","XICI.NET","7,402","13,326","14,953","17,836","17,372","16,416","16,455","14,919","17,947","16,838","15,414","14,736","16,940","16,943","20,215",
"180","[P]","LINKEDIN.COM","7,681","8,682","9,753","10,795","11,213","12,112","12,729","14,769","14,498","17,112","16,123","15,257","15,978","18,111","20,122",
"181","[P]","SouFun.com Limited","9,458","17,175","15,149","17,912","13,373","13,621","13,048","10,034","13,056","12,624","11,970","11,039","12,173","15,037","20,059",
"182","[P]","YellowBook Network","20,185","20,933","24,363","21,856","22,554","22,400","21,779","18,833","17,073","20,160","21,243","21,506","25,234","23,446","20,036",
"183","[P]","TORRENTREACTOR.NET","5,234","6,470","8,257","7,957","8,259","7,980","11,241","13,267","13,283","14,521","14,229","16,056","17,159","18,873","20,013",
"184","[P]","Bestofmedia Group","12,104","12,372","11,683","13,009","14,093","14,435","15,854","16,177","16,336","17,900","18,702","19,632","19,483","20,554","19,920",
"185","[P]","DEPOSITFILES.COM","5,679","7,133","7,620","7,927","8,548","9,164","10,404","12,642","12,824","15,206","15,531","15,646","15,720","17,870","19,907",
"186","[P]","BROTHERSOFT.COM","15,842","16,391","19,576","21,406","22,582","23,673","23,185","27,359","19,363","16,763","16,469","17,471","16,627","19,118","19,765",
"187","[P]","RCS Media Group","14,609","16,141","16,398","18,851","20,697","20,223","17,561","17,583","18,814","20,181","20,531","20,978","20,019","19,832","19,698",
"188","[P]","FILESTUBE.COM","1,912","2,251","1,859","2,680","2,266","2,578","4,256","4,548","5,913","7,081","7,347","9,177","9,474","13,047","19,621",
"189","[P]","Recruit Co., Ltd.","15,330","16,108","15,963","16,405","15,533","15,998","16,977","18,165","17,032","18,652","18,491","18,005","19,674","19,421","19,603",
"190","[P]","SK Group","15,595","17,339","18,693","18,154","19,936","17,840","20,992","20,185","20,066","21,435","21,808","19,629","20,310","18,763","19,552",
"191","[P]","Sears Sites","17,051","16,181","16,754","15,297","17,461","26,825","29,766","18,075","16,913","19,013","18,837","20,020","18,417","18,531","19,463",
"192","[P]","HEXUN.COM","8,614","16,304","20,772","22,891","22,864","20,153","21,562","14,999","18,183","19,201","15,289","15,467","18,436","17,124","19,434",
"193","[P]","Internet Brands, Inc.","13,087","12,340","11,077","10,223","10,501","10,230","10,149","11,736","11,493","13,406","13,027","13,397","11,986","14,109","19,372",
"194","[P]","SOFTPEDIA.COM","13,358","14,454","15,438","14,689","15,229","16,228","17,814","20,363","22,220","23,799","22,959","22,145","19,416","20,184","19,277",
"195","[P]","FRIENDSTER.COM","37,080","36,897","36,842","35,148","33,531","31,325","29,870","27,049","25,905","25,092","23,516","21,083","19,554","19,129","19,206",
"196","[P]","Ticketmaster","20,667","20,714","20,408","19,873","21,179","20,181","21,397","19,609","19,038","22,631","20,621","20,194","18,826","19,775","18,994",
"197","[P]","JPMorgan Chase Property","14,292","14,929","15,044","14,720","21,985","20,843","20,890","21,028","19,527","19,450","19,744","20,174","18,580","18,610","18,845",
"198","[P]","EZINEARTICLES.COM","12,353","11,371","11,523","12,131","13,589","13,366","13,488","16,355","15,574","16,799","18,059","18,304","17,162","18,643","18,844",
"199","[P]","China Telecom Sites","14,489","26,151","20,204","17,388","18,887","23,222","19,613","15,248","17,407","18,761","17,521","15,168","15,967","24,694","18,818",
"200","[P]","gretech","12,421","15,412","16,088","15,928","18,787","17,450","21,086","24,313","17,512","18,301","19,020","18,327","17,528","18,684","18,782",
"201","[P]","Sheknows","10,164","10,821","10,880","10,487","11,542","11,095","12,476","12,751","12,807","13,329","13,187","14,037","16,511","19,121","18,774",
"202","[P]","Globe7","N/A","19,799","18,891","19,916","17,513","17,058","15,651","17,790","23,646","28,633","22,903","27,428","21,030","19,368","18,751",
"203","[P]","Tribune Interactive","18,038","18,994","18,657","18,665","18,855","18,816","18,684","21,245","19,389","19,276","19,635","20,832","19,036","20,694","18,714",
"204","[P]","CyWorld","15,331","16,069","18,916","17,394","19,949","18,931","21,853","21,657","21,801","21,046","21,813","19,448","19,269","18,191","18,581",
"205","[P]","Kakaku.com Inc.","11,541","12,153","12,220","12,284","12,484","12,747","14,171","15,776","14,578","15,941","15,385","16,113","17,768","18,491","18,572",
"206","[P]","TOM.COM LIMITED","15,996","28,195","33,367","32,312","31,705","29,320","30,412","24,759","24,633","22,293","23,686","21,618","18,953","17,361","18,558",
"207","[P]","BitComet (App)","15,282","17,124","17,649","18,315","18,292","18,319","19,124","18,513","18,897","20,773","20,254","19,273","19,295","19,106","18,548",
"208","[P]","Excite Japan","16,773","17,015","17,333","16,589","17,492","16,589","17,402","17,955","17,278","18,021","18,186","18,281","18,982","18,560","18,548",
"209","[P]","BAOFENG.COM","2,144","5,003","6,087","6,163","5,447","10,935","6,687","9,863","10,880","11,905","12,201","11,972","16,150","19,188","18,364",
"210","[P]","THEPIRATEBAY.ORG","9,213","8,949","8,935","8,755","10,173","10,916","12,839","13,905","14,600","15,690","16,168","16,152","16,136","17,681","18,357",
"211","[P]","WorldNow Sites","18,612","17,882","18,593","18,989","19,038","19,072","20,477","21,708","18,102","18,304","17,367","18,110","16,899","18,305","18,279",
"212","[P]","HSBC","20,310","21,121","19,787","19,297","20,879","19,963","20,202","19,627","19,086","19,873","19,303","18,728","18,073","17,858","18,200",
"213","[P]","PPLive Inc.","N/A","N/A","N/A","31,257","31,419","29,472","24,330","20,474","19,327","17,487","18,713","15,439","16,226","17,337","18,038",
"214","[P]","People's Daily online","9,486","14,512","18,934","18,337","16,275","17,400","17,147","13,990","19,635","18,674","17,827","14,256","17,285","16,722","17,914",
"215","[P]","Groupe Pages Jaunes","16,145","15,367","14,361","16,253","17,395","16,839","17,513","17,699","18,298","18,991","19,606","18,118","18,092","18,420","17,891",
"216","[P]","TORRENTZ.COM","9,328","9,705","9,855","9,915","11,057","11,174","12,831","13,968","13,733","17,029","16,761","17,400","17,429","18,387","17,871",
"217","[P]","The Washington Post Company","16,339","15,338","15,819","16,201","17,107","17,002","13,676","17,192","12,949","14,957","14,920","15,372","14,439","16,442","17,854",
"218","[P]","Sony Music Entertainment","13,539","12,656","12,862","12,425","12,784","12,629","12,371","16,815","16,963","18,500","17,051","16,827","19,692","21,886","17,660",
"219","[P]","Seesaa","13,590","14,065","14,846","15,122","15,277","14,360","15,126","15,783","15,302","15,646","15,575","16,323","17,226","16,798","17,602",
"220","[P]","51.COM","9,257","18,248","19,286","21,097","22,785","19,414","18,395","13,987","13,544","12,472","11,258","10,671","14,862","17,110","17,572",
"221","[P]","imeem","25,888","27,058","24,404","21,829","22,145","21,889","22,834","23,060","22,670","24,009","24,407","24,789","21,753","19,665","17,433",
"222","[P]","News International","14,202","14,482","14,951","14,540","14,792","14,441","14,867","17,076","20,094","17,611","16,924","17,120","17,059","18,073","17,391",
"223","[P]","IKEA","12,113","13,486","15,294","15,311","13,958","14,822","14,152","17,089","16,312","15,862","14,797","13,435","12,581","14,939","17,362",
"224","[P]","WhitePages","23,253","23,266","22,337","20,819","21,546","19,998","23,536","21,597","21,310","22,888","20,400","18,129","16,928","17,642","17,357",
"225","[P]","Wells Fargo","10,366","10,490","10,542","10,122","10,360","9,625","11,043","11,055","17,088","17,870","18,035","18,248","17,234","17,329","17,353",
"226","[P]","Steam (App)","11,409","13,473","13,549","12,899","13,122","13,761","14,177","14,157","14,888","16,358","16,151","17,456","18,443","17,443","17,217",
"227","[P]","Travian Games","13,734","13,893","12,473","11,816","16,239","18,219","22,322","21,763","37,043","33,389","29,328","27,433","19,125","18,517","17,071",
"228","[P]","Orbitz Worldwide","27,626","31,029","26,350","22,027","21,752","20,985","19,536","24,114","21,904","21,791","19,662","17,097","17,833","18,897","17,018",
"229","[P]","SHOUTMIX.COM","9,143","9,814","10,335","11,609","11,554","13,351","12,460","13,240","13,811","15,565","15,401","16,049","15,395","16,514","16,983",
"230","[P]","Wikia Sites","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11,981","12,348","14,135","14,274","14,200","16,457","16,963",
"231","[P]","Sankei Shimbun","N/A","9,407","9,887","8,967","10,758","10,696","11,543","12,114","11,179","13,740","15,093","12,422","12,219","12,916","16,921",
"232","[P]","Infospace Network","11,906","16,015","12,739","13,667","14,341","13,188","14,774","15,541","13,635","13,379","14,814","16,452","15,395","17,146","16,821",
"233","[P]","AVAST.COM","4,462","4,997","4,947","5,000","5,838","5,227","5,086","6,735","10,260","14,147","16,318","13,926","14,640","15,489","16,725",
"234","[P]","Gruner+Jahr Sites","12,329","11,389","11,747","12,504","13,050","13,633","13,668","14,905","15,090","16,009","15,421","15,271","14,983","16,169","16,678",
"235","[P]","Samurai Factory Inc.","15,158","15,735","14,663","14,504","15,143","14,587","14,532","14,793","14,366","15,358","14,961","15,321","16,356","15,347","16,626",
"236","[P]","PlasmaNet Sites","4,480","3,986","3,556","3,093","7,515","5,647","10,449","12,322","12,302","11,565","12,956","15,074","14,394","16,212","16,601",
"237","[P]","BITCOMET.COM","12,411","14,152","15,644","16,236","15,271","14,741","15,795","15,699","15,740","16,414","16,350","15,682","16,174","16,408","16,555",
"238","[P]","NING.COM","5,027","5,620","6,867","7,820","8,368","9,196","9,491","10,918","12,665","15,353","15,713","16,516","15,228","16,657","16,455",
"239","[P]","Grisoft","23,089","20,643","19,729","17,506","19,808","22,607","20,792","22,630","24,566","43,348","42,607","38,317","17,927","17,566","16,392",
"240","[P]","Hatena","12,836","12,615","13,285","13,516","12,380","12,214","11,860","13,228","12,279","14,165","13,552","14,664","16,079","15,587","16,345",
"241","[P]","Fantasy Sports Ventures","5,646","5,210","6,320","8,477","7,841","8,329","13,134","13,233","11,867","13,703","14,140","13,869","13,708","15,205","16,316",
"242","[P]","Telecom Italia","17,487","18,012","17,819","14,978","14,662","14,521","15,308","15,163","16,101","17,333","16,478","16,106","14,800","16,301","16,274",
"243","[P]","FUNSHION.COM","3,420","8,237","10,109","12,946","14,290","13,060","13,127","12,298","13,452","13,267","12,043","12,067","12,682","15,373","16,244",
"244","[P]","Universal Music Group","12,599","12,340","12,955","12,937","14,439","14,706","15,801","16,969","15,815","18,557","16,402","18,286","16,893","17,362","16,176",
"245","[P]","Vivendi","21,842","24,305","7,901","9,291","10,151","11,670","12,721","11,561","11,799","13,224","12,938","12,872","14,701","15,171","16,126",
"246","[P]","Cox Enterprises Inc.","19,074","18,435","17,375","17,131","17,688","16,005","16,382","17,424","16,488","16,662","15,753","15,644","14,984","15,743","16,102",
"247","[P]","Groupe M6","12,024","10,743","11,520","13,207","16,341","16,080","15,927","15,392","15,354","16,302","16,235","16,093","16,063","16,803","16,076",
"248","[P]","6.CN","10,502","22,912","26,342","27,653","28,590","19,811","18,725","15,831","16,763","14,806","14,208","10,838","11,988","15,681","15,917",
"249","[P]","Nexon Corporation","15,477","18,731","22,037","18,714","18,593","17,789","17,223","19,274","17,084","15,659","13,207","14,533","13,764","15,103","15,862",
"250","[P]","SOFTBANK Group","N/A","15,715","15,304","14,601","14,653","14,383","15,247","15,633","15,254","16,510","15,345","15,730","17,309","15,863","15,861",
"251","[P]","Hispavista Sites","12,020","11,349","11,272","11,690","12,068","12,316","12,523","12,623","13,068","15,015","14,848","15,995","15,784","15,274","15,777",
"252","[P]","CDC Corporation Sites","8,770","14,645","16,130","16,368","15,127","13,876","13,469","11,252","12,537","12,921","13,200","9,333","10,421","11,450","15,696",
"253","[P]","58.COM","2,097","5,217","7,462","8,050","6,779","6,753","6,031","6,125","9,365","11,776","12,019","11,062","13,018","15,028","15,685",
"254","[P]","Ford Motor Company","14,436","13,813","13,338","13,827","14,542","12,621","13,599","12,047","13,804","14,914","14,429","13,865","13,655","14,456","15,679",
"255","[P]","Citysearch","14,812","15,171","14,508","13,529","14,194","13,849","14,188","15,167","13,160","13,441","12,673","14,660","13,898","15,061","15,664",
"256","[P]","Grupo Prisa","13,158","12,083","12,398","13,505","13,762","13,796","13,737","13,962","15,123","16,818","16,944","17,929","17,287","15,491","15,585",
"257","[P]","DailyRadar","13,767","7,338","7,514","6,375","6,640","7,196","9,496","9,393","9,961","11,429","12,639","12,704","13,962","15,505","15,526",
"258","[P]","MULTIPLY.COM","20,336","20,000","18,673","18,438","17,662","17,360","16,278","16,730","16,989","17,688","17,131","16,575","14,976","15,156","15,524",
"259","[P]","JFG Networks","8,135","7,482","7,928","8,541","10,064","10,366","11,015","11,500","13,753","14,494","14,585","14,893","14,864","15,642","15,457",
"260","[P]","Scripps Networks Interactive Inc.","N/A","16,598","16,010","16,362","16,788","18,495","19,117","19,297","16,922","15,171","16,015","15,734","15,123","14,984","15,407",
"261","[P]","Gawker Media","12,925","11,709","12,263","11,400","12,859","11,609","13,368","14,476","13,751","14,015","13,887","14,733","14,406","16,155","15,405",
"262","[P]","Groupe Spir Communication","8,659","9,357","8,698","10,590","11,736","11,323","11,293","11,802","12,669","14,936","15,052","14,411","13,922","14,748","15,390",
"263","[P]","BADOO.COM","5,995","4,980","4,718","5,069","4,856","5,701","6,727","7,567","8,081","9,995","9,904","12,459","15,905","15,310","15,384",
"264","[P]","BAIXING.COM","N/A","N/A","N/A","5,788","3,906","7,934","11,035","8,889","13,253","14,137","13,315","10,377","12,569","14,120","15,340",
"265","[P]","ZIMBIO.COM","3,843","4,211","5,212","6,216","6,388","6,495","8,432","9,837","11,603","11,976","12,255","14,677","13,633","15,044","15,238",
"266","[P]","Dwango Co., Ltd.","14,112","13,679","14,947","13,256","12,884","12,540","12,681","13,425","13,074","13,920","14,348","14,680","16,081","14,888","15,212",
"267","[P]","NETFLIX.COM","11,549","11,959","11,298","11,640","12,339","11,839","13,038","17,189","14,138","14,241","13,410","14,271","13,449","14,185","15,103",
"268","[P]","NFL Internet Group","5,879","7,751","14,013","18,037","16,727","16,459","17,756","14,717","9,402","7,084","9,055","6,605","6,265","8,231","15,081",
"269","[P]","Benchmark Group","10,933","10,766","10,246","12,226","13,774","13,943","14,459","15,454","15,910","16,653","17,094","15,968","15,213","15,227","15,015",
"270","[P]","Procter & Gamble","12,090","10,376","12,565","14,449","14,944","16,855","13,862","11,575","11,513","12,341","11,584","11,075","10,719","14,087","15,006",
"271","[P]","Qip","7,617","12,715","13,787","14,229","15,335","15,785","15,086","14,311","12,770","13,552","12,937","12,762","13,388","13,128","14,979",
"272","[P]","Intelius","8,475","8,032","7,604","8,904","9,587","9,000","10,271","10,268","9,493","9,336","10,503","13,403","15,235","14,740","14,884",
"273","[P]","JMnet (JoongAng Media Network)","5,921","5,816","7,077","5,833","6,518","6,038","6,498","11,898","12,487","13,367","12,077","12,527","13,600","12,464","14,836",
"274","[P]","VEOH.COM","17,523","17,968","18,070","16,110","16,130","15,558","15,947","15,810","15,177","15,710","15,321","15,786","16,512","15,952","14,810",
"275","[P]","USAFIS.ORG","12,188","11,942","9,872","9,150","8,095","7,013","7,077","9,169","9,043","9,940","10,113","10,248","8,518","12,904","14,740",
"276","[P]","LG Group","11,424","11,507","10,955","10,779","12,047","12,149","14,063","13,108","12,317","14,387","14,232","14,300","15,442","14,413","14,738",
"277","[P]","EASTMONEY.COM","8,877","12,021","12,088","12,907","13,356","14,916","14,444","10,232","13,495","12,347","12,312","10,807","11,130","12,774","14,737",
"278","[P]","NIH","17,335","15,777","15,492","15,532","16,323","15,890","14,114","16,355","16,553","18,874","17,658","16,480","14,764","14,566","14,703",
"279","[P]","BuscaPe.com Inc.","8,481","8,308","8,456","7,931","10,339","11,443","11,569","11,508","11,818","14,002","14,273","14,219","12,760","13,814","14,668",
"280","[P]","Batanga","14,486","17,304","17,725","19,417","19,819","25,268","27,650","24,779","12,331","15,870","15,261","15,554","14,932","14,554","14,668",
"281","[P]","UPS Sites","16,304","16,903","16,261","15,658","16,700","16,850","23,731","17,987","15,352","16,683","16,086","16,150","14,807","15,290","14,642",
"282","[P]","NASZA-KLASA.PL","12,042","15,807","15,563","15,311","14,499","14,081","13,439","12,749","11,750","11,793","11,915","11,425","11,822","11,366","14,571",
"283","[P]","Xacti Corporation","N/A","6,553","7,175","6,654","5,935","6,571","8,891","9,272","9,116","10,195","9,712","9,279","11,309","13,108","14,536",
"284","[P]","BEEMP3.COM","1,630","2,104","2,622","2,779","3,818","5,045","7,150","8,765","10,096","11,929","13,436","15,391","15,178","15,953","14,526",
"285","[P]","Vocento","9,207","8,539","8,325","8,811","9,482","10,015","10,986","11,004","10,647","12,003","11,900","12,464","11,939","13,329","14,475",
"286","[P]","Viva street Classifieds","8,819","8,596","9,466","11,725","13,090","12,532","12,845","13,806","11,280","12,679","12,817","13,282","13,431","14,343","14,382",
"287","[P]","ZING.VN","3,896","5,543","5,996","7,358","8,323","10,281","10,254","10,835","10,974","11,854","12,464","12,409","12,652","13,872","14,346",
"288","[P]","Trovit Sites","4,684","5,278","6,163","9,092","10,253","10,266","9,259","12,508","12,969","14,659","14,338","13,980","14,030","14,442","14,149",
"289","[P]","Mainichi Shimbun","N/A","N/A","N/A","N/A","N/A","N/A","8,630","9,498","8,476","10,506","10,772","11,010","11,905","11,437","14,119",
"290","[P]","Groupe PriceMinister","12,655","11,953","11,656","12,968","14,565","14,288","15,412","16,098","15,285","16,519","16,716","16,453","14,716","15,530","14,116",
"291","[P]","Reader's Digest Digital Network","11,051","12,089","12,370","13,031","15,074","16,505","18,096","15,237","12,847","13,737","13,837","12,899","12,640","13,587","14,079",
"292","[P]","ValueClick Sites","15,705","14,630","14,140","14,241","15,834","16,282","17,593","15,484","13,553","13,290","13,969","14,588","12,340","14,452","14,042",
"293","[P]","Hulu","2,309","2,566","3,321","3,487","6,067","5,642","5,362","6,233","8,771","7,543","9,205","10,393","9,081","8,656","14,020",
"294","[P]","eBuddy Sites","6,055","6,155","6,219","8,103","7,400","7,854","9,027","9,332","11,914","12,137","12,516","12,550","12,586","14,139","13,968",
"295","[P]","39.NET","5,939","11,876","14,459","17,687","14,810","13,244","13,527","9,283","11,688","12,184","11,597","9,263","11,960","13,991","13,901",
"296","[P]","General Motors","13,987","14,600","13,914","13,603","13,277","14,702","17,264","11,636","12,354","13,965","14,399","13,179","13,149","14,261","13,866",
"297","[P]","Acer Inc.","5,977","7,071","7,418","7,930","8,058","9,313","8,678","8,646","8,221","9,212","11,764","11,441","13,237","14,045","13,752",
"298","[P]","Onlinedown Sites","10,944","16,835","20,872","20,217","19,559","17,586","16,539","14,337","16,786","14,950","12,542","11,448","14,152","14,126","13,750",
"299","[P]","2345.COM","9,040","16,769","14,689","15,837","15,506","14,025","13,143","11,500","11,984","11,433","12,186","11,327","11,415","12,964","13,715",
"300","[P]","ARMORGAMES.COM (w/ history)","8,321","9,145","9,150","8,043","9,209","9,580","10,757","10,251","10,206","9,952","11,143","12,058","11,841","13,306","13,642",
"301","[P]","Mattel Sites","16,866","17,806","17,963","15,643","17,002","17,979","19,065","15,483","15,266","15,403","14,623","13,600","12,746","14,090","13,619",
"302","[P]","NextRadio TV","11,077","9,997","9,860","11,032","11,306","11,843","12,703","11,663","13,118","14,169","13,695","14,009","13,382","13,296","13,557",
"303","[P]","DOUBAN.COM","5,687","7,265","9,127","9,149","7,937","7,133","7,930","8,314","11,042","11,770","8,679","7,944","10,216","11,567","13,491",
"304","[P]","Pearson Education","12,217","9,981","12,158","15,508","17,096","16,524","14,953","16,673","16,580","17,106","15,559","16,410","13,630","11,687","13,298",
"305","[P]","Y8.COM","7,972","7,896","8,680","8,375","9,032","9,354","10,173","10,632","11,872","12,869","12,873","12,886","13,069","13,412","13,272",
"306","[P]","World of Warcraft (App)","9,361","10,883","10,843","10,212","11,044","10,979","12,210","12,152","11,628","11,516","11,953","12,380","11,835","11,387","13,161",
"307","[P]","Encyclopaedia Britannica","13,648","11,418","11,328","15,148","15,038","13,468","13,170","14,750","15,005","17,056","15,950","15,460","12,371","12,780","13,062",
"308","[P]","McAfee.com Sites","9,455","9,842","11,651","11,476","11,912","16,866","16,923","16,757","12,616","14,069","14,625","13,004","14,089","15,311","13,050",
"309","[P]","Volkswagen","10,930","10,922","9,789","10,796","11,098","10,225","9,815","12,382","12,476","13,686","12,747","12,083","12,119","14,163","13,047",
"310","[P]","National Lampoon Humor Network","10,293","11,070","12,115","10,308","9,085","8,276","8,539","8,594","9,325","10,922","11,049","9,812","9,335","12,494","13,019",
"311","[P]","Nextag.com Sites","10,092","9,226","9,174","9,253","11,070","13,186","15,884","15,003","12,637","13,285","13,304","12,353","11,157","12,734","12,774",
"312","[P]","Coca-Cola Company","13,241","13,224","15,876","9,214","10,997","9,443","9,815","8,671","8,112","8,306","10,724","11,434","11,510","14,005","12,652",
"313","[P]","Rediff.com India Ltd","12,975","13,565","13,085","12,812","12,327","12,693","12,351","12,593","12,176","12,917","12,689","12,602","13,541","12,807","12,651",
"314","[P]","Internet Initiative Japan","14,203","14,863","14,129","13,824","12,789","12,511","12,097","11,729","10,508","11,951","12,045","13,191","12,270","12,174","12,645",
"315","[P]","Dogan Online","9,412","9,070","9,479","8,654","8,222","7,894","7,581","7,359","11,122","11,551","12,055","11,751","11,822","11,652","12,639",
"316","[P]","Michelin Group","9,685","10,442","9,596","8,768","9,399","8,791","8,617","9,055","9,957","11,336","12,070","10,629","10,473","12,893","12,621",
"317","[P]","Indeed","5,467","5,633","6,067","6,982","7,044","6,911","6,041","9,171","8,561","9,637","9,480","10,238","10,284","11,304","12,613",
"318","[P]","EASY-SHARE.COM","7,505","7,218","8,321","8,180","8,870","8,659","10,490","11,701","12,204","14,816","14,513","14,174","12,959","13,586","12,601",
"319","[P]","Sky Sites","8,712","8,474","10,070","10,156","9,847","9,857","10,004","12,099","12,528","12,969","12,405","12,300","12,553","13,114","12,574",
"320","[P]","Capital One","15,400","14,872","14,493","14,495","16,019","15,912","16,588","15,494","15,104","14,825","14,039","14,986","14,245","12,730","12,570",
"321","[P]","Liberty Media Holding Corporation","11,968","12,435","12,350","15,386","20,320","13,180","13,989","13,837","13,014","13,591","12,573","12,597","11,434","10,729","12,554",
"322","[P]","Corel Corporation","N/A","N/A","10,800","10,165","10,409","10,395","10,817","11,830","11,850","13,519","12,463","12,348","11,359","12,690","12,526",
"323","[P]","MUSICA.COM","9,045","8,832","8,846","9,400","9,971","10,175","10,324","9,928","10,552","11,618","11,824","12,760","12,410","12,235","12,452",
"324","[P]","TOPSHAREWARE.COM","1,952","2,259","2,538","2,604","2,773","2,823","3,018","4,300","5,740","7,606","9,253","10,379","10,668","11,843","12,438",
"325","[P]","Sprint Nextel Corporation","9,469","9,847","10,206","10,224","10,796","12,483","14,566","11,275","12,261","12,197","10,760","11,657","12,069","11,516","12,430",
"326","[P]","MLB.COM*","13,376","14,078","12,150","11,001","10,655","5,146","5,513","5,435","5,536","8,031","13,565","13,186","11,964","12,933","12,423",
"327","[P]","VistaPrint Sites","8,464","8,066","8,892","9,032","10,127","10,294","11,362","10,724","10,756","12,170","13,072","12,688","12,095","11,576","12,324",
"328","[P]","Toyota","10,249","9,477","10,299","9,696","10,598","9,378","9,977","11,255","11,690","12,638","10,885","11,445","11,777","14,088","12,300",
"329","[P]","MyLife.com Sites","N/A","N/A","N/A","N/A","N/A","N/A","16,670","18,514","17,223","12,877","12,022","10,542","10,206","12,049","12,298",
"330","[P]","Amadeus Global Travel Distribution","10,852","12,550","10,843","10,307","9,223","8,364","8,929","11,260","11,335","12,695","11,805","11,420","11,868","13,612","12,293",
"331","[P]","Nike","12,161","13,392","16,916","10,520","10,199","9,833","10,637","9,173","9,076","12,072","10,724","10,804","10,286","11,708","12,291",
"332","[P]","MIXI, Inc.","14,266","14,016","14,673","14,046","13,504","12,941","12,947","12,563","11,754","12,739","12,484","12,342","13,741","12,053","12,288",
"333","[P]","CollegeHumor Media","5,010","5,074","5,434","5,386","6,392","6,508","7,201","8,259","8,056","9,199","10,923","11,490","10,370","11,452","12,268",
"334","[P]","STARTVG.COM","8,963","13,614","12,502","11,568","12,438","12,580","13,561","13,543","14,903","15,367","15,367","13,938","12,240","12,536","12,244",
"335","[P]","TISTORY.COM","5,844","6,691","8,336","8,309","9,261","9,572","10,409","10,179","10,131","11,124","10,116","12,038","12,014","10,577","12,242",
"336","[P]","Sonico Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15,306","13,981","12,413","12,479","12,276","13,218","12,220",
"337","[P]","DUOTE.COM","8,784","12,852","16,359","13,894","14,376","13,415","13,667","13,446","13,250","11,418","10,572","8,686","10,007","12,002","12,162",
"338","[P]","VeryCD","7,474","12,695","15,918","18,732","15,474","14,419","13,856","14,092","12,876","13,146","11,789","10,981","10,782","12,966","12,145",
"339","[P]","KT Group","10,693","9,578","10,676","10,116","12,081","12,820","13,542","14,211","13,562","13,512","13,378","12,566","12,230","11,379","12,145",
"340","[P]","American Express","11,923","11,693","11,634","11,235","11,828","12,602","13,704","12,159","11,106","11,029","10,334","9,630","9,972","9,815","12,126",
"341","[P]","USPS.COM","15,117","15,338","14,543","13,992","14,046","13,179","16,545","14,267","13,504","12,959","14,040","14,441","12,711","12,620","12,059",
"342","[P]","SWEETIM.COM","9,659","10,192","10,509","10,854","11,201","12,177","13,185","13,851","15,920","17,596","16,283","14,261","14,265","14,098","12,049",
"343","[P]","ASSOCIATEDCONTENT.COM","8,011","8,651","8,679","8,920","10,947","9,969","10,587","11,085","10,611","11,603","11,865","13,164","11,606","11,889","11,993",
"344","[P]","Fotovista Group","8,196","8,601","8,052","9,512","9,738","10,777","12,730","12,007","11,788","12,187","11,643","9,778","9,825","12,010","11,987",
"345","[P]","JCPenney Sites","11,139","11,349","12,653","11,178","12,685","17,306","22,231","12,683","11,774","12,070","12,792","12,246","11,311","10,678","11,956",
"346","[P]","Big Fish Games Sites","12,444","14,034","14,351","14,260","13,665","13,334","14,441","15,245","15,168","15,748","16,112","15,620","14,444","13,582","11,928",
"347","[P]","DEEZER.COM","4,772","4,974","6,225","5,832","5,922","8,248","9,269","8,849","9,460","10,329","8,206","8,907","8,819","9,011","11,845",
"348","[P]","Qihoo.com Sites","13,938","16,460","21,841","21,179","22,921","18,560","17,322","13,761","13,688","10,727","8,182","7,395","9,829","11,656","11,834",
