"MEDIA TREND REPORT","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: All Locations","","","","","","(c)2009 comScore, Inc"
"","","","Time Period :: September 2008 - November 2009","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/22/2009","","","","","",""

"","","","Sep-2008","Oct-2008","Nov-2008","Dec-2008","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009",
"211","","    USHISTORY.ORG","483.8588467688","419.5918257116","312.179135679","269.6793505965","339.1815382972","380.82682897075","440.517983552","210.080867788","223.94398014696","201.473498226","230.51744206604","196.32800583941","403.08487359192","460.60289154249","377.197460419",
"212","","    JURIS.DE","239.1148779877","198.40837049","238.6346578671","271.3483969174","422.7765873111","395.49782012575","457.88992120404","434.72576999572","420.81298599166","214.57833433155","311.26196745792","478.65261103447","447.43092077838","364.28326178859","372.910512532",
"213","","    DEFINICION.ORG","681.6680265161","703.7933734272","609.526540721","359.4063103913","373.9551768473","564.28989327107","680.50692478356","614.67859157179","546.81419792142","468.715084815","304.87508962844","469.0483874567","499.0453581329","501.16648757986","365.390722805",
"214","","    WWWW4.COM","165.2715894115","310.1356422228","518.7657400653","238.8479827393","375.2579910618","411.18824961494","492.55335807576","512.91310414107","444.26218852852","284.628874379","186.63076532672","255.10419154419","480.0121612608","400.2549200909","363.857086393",
"215","","    VISUALTHESAURUS.COM","456.5405928032","367.8272344034","354.9761660863","356.0645866032","329.1467899191","336.93616529902","400.10432173436","368.76506680979","423.13901355476","269.3038325612","238.4539286084","409.00504777877","389.46582779482","347.39522179238","363.671313458",
"216","","    FOURMILAB.CH","291.9340858468","283.8663536358","276.8819419548","239.0663197148","320.5026447294","350.74024158078","392.63217579944","275.41677238407","224.38873969076","341.9920660277","270.1740159666","231.07046973892","347.87226930672","310.36890561209","361.962909499",
"217","","    MOREWORDS.COM","247.9870411032","206.7717248219","279.7634480294","227.9014039635","270.742791094","269.45682607479","291.62243910704","284.88681751186","272.9343765367","204.13455168365","254.27308924396","279.03400424355","350.06949796952","327.17881397294","361.075129995",
"218","","    GLOSSARY.RU","258.9821818248","250.9065910531","491.9626501013","319.450400628","531.5674013916","313.88000295358","389.90908488284","462.45399999679","362.63355306072","361.7530061922","187.18468357224","190.79116708115","430.92473263994","377.5694484609","358.526293057",
"219","","    ABCPEDIA.COM","379.9596804022","321.943450866","269.4848326769","246.9087777229","245.0330252323","369.52720296054","438.89978094192","324.35590672886","383.6743536811","335.05900898455","269.38181668256","302.9606567269","394.9870419747","360.33121230582","356.532696173",
"220","","    OCLC.ORG","298.6524437782","179.0046966032","173.2746289977","163.9741520059","220.5911927942","352.48728225744","365.04973425404","366.047111176","245.56483575956","182.7342060124","193.09523386328","131.09838654445","250.45523915624","262.12795112062","356.432296271",
"221","","    QURANEXPLORER.COM","349.7072557162","221.5914574046","227.4027141789","189.4710104651","272.3596478078","366.94102627505","392.67596752492","379.99929500565","389.9231960584","407.6777703063","416.70491979072","748.04348728211","773.8093021175","555.51665524912","347.429959206",
"222","","    NETPME.FR","229.0303370972","351.9836368092","248.1856982851","268.5617730832","375.6315519865","389.88833822924","294.90550051124","416.43102999893","398.93260608558","292.87935022775","246.43531451252","195.42226935299","367.48982519012","372.99199277208","344.490898558",
"223","","    U-S-HISTORY.COM","276.4579035129","299.7635606261","310.5601684449","277.1293657923","281.7060362798","304.49424481625","350.08786626968","262.26128703514","207.7601146214","112.56936725575","91.7681395576","107.39769028407","287.11579398624","285.9687679356","341.473350272",
"224","","    LECTLAW.COM","440.2481908385","350.2058953678","284.2190127492","397.6609016016","319.5103853138","310.44106978908","333.21314878","361.85537121279","369.03315409304","240.86831089845","300.07728845428","269.61161503112","340.13999127052","385.18762257888","339.531377474",
"225","","    NOODLETOOLS.COM","122.0830623171","210.3753014375","356.7574411663","316.109794618","185.1384931304","257.26505284205","377.147474142","285.25888949293","197.557450419","103.130373055","35.5061876","64.95511362136","168.07669919018","246.78490073248","338.594808695",
"226","","    NCIKU.COM","9136.6509517379","4179.3889251579","1513.4553243043","1850.1825740574","624.1497493162","438.83343921254","481.63039451324","259.26349736221","345.1466772854","415.55531721185","348.91107995804","433.88492997466","348.64674605904","368.36022366993","332.614733424",
"227","","    SOBRESITES.COM","367.8744958779","321.4210191106","318.5772100622","240.2094248045","299.0295876711","325.4067941373","436.63992320308","353.83024596107","332.04985700566","252.715667862","276.592566062","282.52992019592","286.07115954854","323.56662674179","331.254589952",
"228","","    TDK.ORG.TR","N/A","N/A","275.2269200504","194.0818091612","230.1430431899","408.44126094199","394.3241228268","261.79476","244.322071879","128.75333083825","177.03697401952","170.19455079158","103.51420032954","364.19563804263","326.674725426",
"229","","    LYCAEUM.ORG","219.4774658899","204.5082774697","275.3027504365","269.8866805139","314.6308389129","278.95186543788","314.44525179512","286.51459999721","350.39091729394","364.0116155282","343.1443179582","261.88963226915","370.98462467682","402.42427090952","325.293639248",
"230","","    ELITESKILLS.COM","152.6438192714","201.8419802847","224.7759439659","283.3768930272","234.3419116781","297.17874387743","287.08300045524","293.98214444093","279.08489588926","141.72587010385","136.289331094","123.47137251107","192.71884084836","271.5459089747","323.179440859",
"231","","    NYPL.ORG","257.5278362831","303.7265164319","379.2127784851","286.9562904733","399.0960885914","306.44619360719","335.88004376776","321.31372756586","304.93559838148","252.09952236995","198.39450922748","227.965149433","276.03678326874","341.96653694181","315.198265206",
"232","","    MOLWICK.COM","209.4002674645","195.8780850967","170.2711409705","112.9448796422","138.6674960601","332.71847540491","344.19257162612","251.05270553923","298.18802707226","280.90763840835","145.50738387784","263.04130856322","344.13641355882","320.5492429162","308.60068888",
"233","","    PANTHEON.ORG","283.5761213149","376.846949063","292.6425085718","259.4426016954","313.0209729336","382.35895162316","337.5047932132","367.52222833693","281.68460522206","225.5986372567","128.01599460216","162.37109781844","236.47021946184","283.42915061103","306.978079589",
"234","","    DEXONLINE.RO","550.688596863","700.8589697736","683.920742176","617.2524400665","694.1923690609","713.07254662348","739.23923544652","646.15119","587.92747683062","488.3632861784","433.1034527198","191.18391007953","240.08093882456","357.50837848322","303.028503552",
"235","","    CUCUMIS.ORG","348.2707975452","287.8325905498","264.2893742288","314.4640000642","386.1087188927","374.83561670349","372.19037190224","368.93957187535","401.66084278242","311.69791027985","284.67170719608","330.24467343677","321.72402765572","328.31938785914","302.811854451",
"236","","    GOGEN-ALLGUIDE.COM","201.9091874361","164.7288111079","282.4761730769","265.1851994891","247.5052655116","337.93312223491","318.36500698068","294.40193999893","236.3616317211","276.37031345835","306.47386359304","251.59549948186","281.76192483056","264.97373324275","297.284091592",
"237","","    BOOKFINDER.COM (w/ history)","465.351326588","375.8391066101","335.2299957544","330.0305325534","405.2967808803","470.76390134649","507.34202973372","489.07690171865","432.55962944942","334.37971502335","326.63122092472","360.40725261785","352.16327500882","375.9213210068","296.424889671",
"238","","    NOLO.COM","405.5856711869","500.3373767774","380.1187922543","341.8315317219","589.0507160211","648.6220510985","545.49004690824","650.34378248286","468.48790985978","408.1027546694","545.2154642452","413.41326313257","374.93099785242","327.75424263994","294.881837254",
"239","","    FRENCH-LINGUISTICS.CO.UK","439.6488064983","352.9892133622","306.1982485782","252.9942557431","300.9081417226","341.27722088914","427.12647171992","362.12105699993","278.26087855936","191.82623715755","126.96452173952","180.09619431991","317.16737463926","348.45519279159","293.252989256",
"240","","    Antiqbook","964.2981519068","876.4082800732","751.2773922416","653.6363257611","559.2206107415","575.34808088628","418.46765085032","357.24314886914","284.13702203758","199.22061228105","266.80812119976","245.17483932258","336.26083940552","272.28460605747","291.763653601",
"241","","    ACTUALICESE.COM","165.4642684431","155.9460516724","145.5849471307","114.6826585389","174.9704380523","404.24981275858","425.00105460108","446.18893000107","442.04610680042","365.66742647135","370.4586855648","376.28270497451","380.1502327779","354.74119282775","291.438135331",
"242","","    STROYPORTAL.RU","191.6927585353","240.2487612767","189.4026213464","466.1981821475","321.7675039689","320.01206489785","217.31637129392","309.18505999893","207.49939923108","184.56515479815","302.04302301888","252.2039848619","274.6090100511","280.79313263101","289.504767015",
"243","","    DUDEN-SUCHE.DE","204.6836939983","228.9836616232","248.3655918579","237.6132976499","399.458600751","376.06140172346","324.32393130436","312.56885999893","260.85991865492","290.80814308875","243.01798563608","296.39416650924","313.67353327068","308.39901326084","283.750516851",
"244","","    ALTALEX.COM","238.6850045833","252.835809138","321.1384672551","218.3517278481","346.7258448093","316.96437310105","305.83607939892","315.31616","258.51165640098","239.57944850385","261.904559312","200.67247200263","249.95047655538","296.83514481384","282.918194603",
"245","","    MADSCI.ORG","293.5911837177","424.3780256084","286.0348402212","272.778628953","409.9759444257","442.35263591873","372.46103627852","340.636664255","264.70262795508","239.45641102355","201.2421603294","246.27775914161","336.10392924634","350.08139873542","282.590638323",
"246","","    POETS.ORG","266.2666641462","360.7710594463","274.6832654038","300.3104590641","395.1359891405","409.06630770953","356.69820893204","558.72614757907","373.38337061968","194.03251361905","207.29218906068","178.20425274622","281.64835642708","298.58913092384","282.096911927",
"247","","    ILMAINENSANAKIRJA.FI","192.1632233419","199.5356839367","233.9641825345","298.6129749635","296.1104580204","277.30363244849","304.99470407276","269.86483999893","263.0801683595","187.31741223","255.68692184784","284.04667251511","319.04751282804","321.73685316443","278.39113237",
"248","","    Ciao Sites (w/ history)","25219.146918496","25338.0012502282","25989.1402831026","26133.8422101393","27658.1250683434","25504.2949586436","27028.0227656993","25933.8689161431","25088.523123714","1018.89036199115","506.33793656844","286.01504763599","320.13483455958","250.49128029997","277.039225007",
"249","","    NOTAIRES.FR","234.0174375616","194.0922444549","210.5412491149","137.2397742064","220.5830093839","290.66561062433","216.01900000108","341.40967672107","223.59761953314","146.8908359688","147.37089233664","253.70375321056","223.31953045138","215.87866975407","270.950073186",
"250","","    EYEWITNESSTOHISTORY.COM","181.5836668228","206.4702981889","245.3802335733","257.5598541214","296.4429682512","316.83811632747","248.08570419748","207.737790459","238.96958610122","121.30531297645","104.30018292028","101.43002490754","203.87362391392","299.42261074105","268.891805439",
"251","","    LIB.OH.US","366.2988113048","264.6036914598","245.2156035297","284.2841871891","361.2671294935","303.8843489184","356.77805396592","257.107580275","353.87881958578","329.6596152982","229.49803016844","245.7710431788","242.46934326844","277.55414591467","265.595653435",
"252","","    ESSAYTOWN.NET","123.6461741259","152.501303042","182.3857818905","228.8744739624","219.553067954","313.13366854497","254.166786008","275.571805989","236.13422155078","141.4243796031","169.27019003312","182.48263085232","292.75411352528","357.8742387332","265.278866398",
"253","","    SLOVO.WS","401.7325805977","281.7811469286","251.4787009625","373.3967240374","300.8020021743","337.91136514551","160.13585317608","251.65008999893","148.94765574474","54.0386525343","11.57539382536","24.05263655692","449.1576564799","368.11556683263","260.498112943",
"254","","    FOREIGNWORD.COM","368.400348993","362.8312699953","323.0483762058","251.1955203443","313.2431895561","388.03250742088","346.83958797992","327.57059740028","262.2586389978","207.25972984865","254.39109331268","257.42475055121","355.33744579376","272.61303451555","250.995495515",
"255","","    FREELANG.NET","249.7211409757","248.864385588","288.9284723406","205.8219515177","203.9070609089","300.21774980799","216.9591714406","335.93947496514","266.72613406594","273.2261915116","272.47200489992","268.61065695347","344.34653606876","267.93664100428","244.909705304",
"256","","    ALA.ORG","372.5599941715","234.9606452047","264.0935171532","186.3938733383","254.7206659335","321.00714716482","327.10860201284","436.82359653114","300.3030068023","241.2900330636","184.30378015332","189.23323104814","296.22960140462","271.96593961332","244.849365246",
"257","","    IPL.ORG","311.3312781344","404.1778761965","310.3396698632","230.7068619299","345.2854231715","348.40554463817","356.90577989552","350.300959671","326.27076697176","206.88636737815","151.40660293","128.92709318153","162.74769146046","297.85232852958","240.29435828",
"258","","    SEVGILIYE.COM","N/A","N/A","224.6665569148","331.8638846311","328.6615543264","678.71526355858","407.32329184452","289.15892718572","246.71281713884","273.9694829517","280.22681444008","288.85102357939","282.7002840084","233.46699445656","240.187508945",
"259","","    AMERICANRHETORIC.COM","211.2067499911","202.1859653529","421.8539518454","150.8353887693","386.0273773151","318.05054864461","237.39998952268","175.20966021307","199.4997110672","179.69415478165","189.76226111224","184.38996355188","227.753613794","263.95728363166","234.041942063",
"260","","    THEOI.COM","163.3785119333","223.2442304616","123.868370755","150.0961536483","204.2032597434","278.39003939221","233.37773682716","188.54635028593","126.23937671574","90.11676323655","100.25771488884","103.92073374643","157.01216164892","228.22466614354","233.830949655",
"261","","    Virgilio Sapere","N/A","465.621207271","385.2999286741","338.3574701878","345.9241882389","374.52704412811","457.4764171422","333.80362000535","273.99209863904","203.13112807995","204.30863796824","146.13145611919","259.00310432108","299.51512963464","231.591247973",
"262","","    VICTORIANWEB.ORG","134.6056597994","186.8625438962","167.9804646017","302.22175741","260.5560881295","264.9103333852","240.58745389068","374.96974002793","254.88503753772","142.5986004033","108.20768586088","91.40247665705","181.11474255046","230.23497690753","227.876665963",
"263","","    LUMINARIUM.ORG","224.7095360795","167.4769162598","150.6946995184","132.0229785884","167.0011281277","300.98184379451","235.41736766668","194.93473566686","206.41310440436","125.09395357885","112.17854171324","71.49301181172","147.21273929762","211.42172264641","225.940233154",
"264","","    POETRY.COM","745.6822837024","816.1100168871","715.824428058","524.8243169395","495.1774614259","612.82170315991","443.84247785424","449.90521152307","406.56356761782","303.9406006136","310.5356494226","253.98021465121","195.10030329984","169.04764358776","221.450523664",
"265","","    DICODUNET.COM","459.7610205498","337.1490031679","355.3996709337","295.529354861","245.1460974864","281.06380453911","416.19762289464","356.80212672672","222.02445352108","265.480991519","209.58315733748","228.63378578649","201.15698971838","281.38421450547","220.387249937",
"266","","    CUMMINGSSTUDYGUIDES.NET","143.5910839333","131.2885675501","137.1879377216","110.4388534437","182.7197630889","275.63163034867","184.223420241","166.71250432607","198.25919449754","93.31040369595","45.24199403296","83.22207899314","154.86334308524","200.14922224558","208.093450124",
"267","","    QUOTELAND.COM","360.7494604688","450.2765239371","342.1030478388","369.4448230983","379.2822767473","366.30486936611","362.784654919","187.097517294","260.341491825","131.93341234355","305.27030122592","216.47466454333","237.5281022935","225.09990297487","201.387872351",
"268","","    LEARNENGLISH.ORG.UK","428.8639314344","329.1390211499","397.661469485","231.1717361129","394.2258108842","415.07108543577","371.21015780136","153.40307212721","118.63111373846","122.33406871755","131.8167536852","167.0213658269","152.65974307666","182.25735836873","200.866251786",
"269","","    YOURCHILDLEARNS.COM","284.3183760643","229.063019306","198.0227560955","154.6949082458","246.1158597829","273.89269347192","237.52900033996","205.70273050307","198.72722722798","188.5942553955","151.08453217556","173.51427101186","283.46855715346","286.33170123595","196.638187638",
"270","","    MAGENERATION.COM","N/A","N/A","256.0890050763","308.4949398558","301.381719793","282.60612693042","84.01415114416","59.21357999886","38.84051947954","58.8677797388","205.34468413124","404.8231415124","390.2609716255","391.80742176585","196.286715104",
"271","","    VITALREC.COM","268.555773623","260.1329821624","245.426192","356.204271904","250.406125321","271.55179370525","273.014047322","244.099569156","245.2932223872","280.9127074124","254.728714313","223.595728975","202.80806238928","211.99566014131","191.337593943",
"272","","    BIYOGRAFI.INFO","N/A","N/A","N/A","N/A","N/A","281.57907822761","324.44407179832","254.17349368893","202.41143757552","117.60964806675","146.01356015792","133.95685688683","124.54370160782","226.27620999691","189.400274374",
"273","","    YEMINLISOZLUK.COM","N/A","N/A","N/A","N/A","N/A","302.16211121606","244.15594237272","309.22929473007","210.9563611047","253.18611010455","180.67103042352","221.61365221765","195.51483538954","134.71568052506","180.492232041",
"274","","    ESSAYFINDER.COM","263.2962600178","383.230650869","369.1703338657","251.5736983602","295.5075632118","319.12766638459","408.95937810004","409.65485556407","199.29446791352","118.7351542682","142.9028261306","56.44006623435","116.64991407402","118.64825559698","143.482462061",
"275","","    MORFIX.CO.IL","522.2821675318","475.7670453735","571.736668283","617.5529516645","611.3525468691","624.53517163467","644.5020514298","598.59904387986","593.53805866582","583.41702085595","582.06948296096","606.09501465195","648.28121409478","657.38366567515","131.512139367",
"276","","    PRIVATESOZLUK.COM","N/A","N/A","N/A","N/A","N/A","282.87086345635","300.37355819568","180.98327667107","167.44263412924","130.2784710521","158.31650310808","121.92242426379","129.8869327979","152.86531858782","113.566128025",
"277","","    PLANETADISSER.COM","409.0061281812","680.7453965939","570.0242173593","708.4124346274","512.824381571","377.63033690221","357.83193415508","349.08356","293.37207329704","197.80947078565","58.54941603264","17.70922637186","115.77697712912","110.73718487676","105.887336301",
"278","","    LKWDPL.ORG","95.170116796","99.1587862854","109.3127347729","106.5354616724","156.3705607125","352.41533576302","253.39137138608","163.17599250186","107.67833242208","83.95890115095","39.74432715596","68.7648876359","74.25082390992","91.38779522779","92.999503746",
"279","","    YAPPR.COM","235.7910884667","272.011368689","369.9313841471","236.4875618025","338.3734229314","353.99166872189","267.19880141184","122.53496695749","89.80676178984","116.5746286621","122.21091098528","98.68472495358","117.24522873886","117.24145499492","90.362965825",
"280","","    NEDIR.NET","N/A","N/A","244.9183337928","282.3443850977","237.2748994794","316.60559723459","281.96838918072","322.52469148107","264.97717266424","178.20271686015","172.24888685896","168.76238193877","177.88098125944","181.57399421496","89.22214688",
"281","","    WEBNARY.COM","297.5529257452","493.2492461546","593.6990061991","232.0075445735","214.9927070092","330.31522280951","447.94124588064","691.62771000435","403.92187345034","388.03046332915","492.551915169","437.45226798354","251.27680564838","281.99682748513","83.39997631",
"282","","    EXPERTSFORGE.COM","N/A","N/A","N/A","63.006104042","115.9926939928","293.58317827183","139.53973573816","120.11819999786","64.18334933088","25.7294038695","15.107916382","14.33857267811","29.2114534679","23.91555904817","23.16719457",
"283","","    EDU-ZONE.NET","299.3407833049","718.1810069511","939.6529674653","810.1751057642","371.7218911956","362.68774098773","37.26752076684","0.47400999893","N/A","N/A","N/A","N/A","N/A","5.09661954768","6.67206977",
"284","","    GROUNDHOG.ORG","N/A","0.25547772","12.527796878","2.41902624","58.234328746","385.65925217195","5.65233001","2.15989441","2.0067568164","3.80650016","7.715065407","11.404832927","3.169729435","10.77095340756","5.334458021",
"285","","    Abacho Translator","708.9633268564","584.7284158815","710.0399235655","585.9973244324","610.2498616093","596.32940315051","685.37645007872","560.11718","533.69439748814","426.9362866557","371.3527914356","28.54789343891","5.28472989684","N/A","N/A",
"286","","    ALMANAC.COM","519.633229179","425.6537605535","484.6333868027","373.710908482","468.8012106851","445.37930675704","359.02354324792","285.74373105593","339.99556358284","283.90939086005","257.524360768","294.40252393177","N/A","N/A","N/A",
"287","","    BOOKRAGS.COM","3108.8937428229","3528.5002269467","3463.9989573739","3577.8990583233","4288.3237627579","4063.18730114624","4446.5748984832","3566.82331111665","3614.2524425383","2865.15198083285","N/A","N/A","N/A","N/A","N/A",
"288","","    CLIFFSNOTES.COM","873.2988476814","991.1736957511","750.402062877","726.2136169085","735.3834433048","786.83170639918","954.65249230964","824.11164619728","883.97673165532","554.5205151144","437.05218534264","550.97789434524","N/A","N/A","N/A",
"289","","    DISCOVERMAGAZINE.COM","253.0062257904","321.0784485942","326.8753317285","302.5696317474","363.8002348659","349.49445449896","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"290","","    ENCARTA.COM","150.1737058926","214.2029983385","290.2911068711","203.1860925002","189.6714374785","321.16770567838","279.15914158196","255.318500232","283.16119657476","N/A","N/A","N/A","N/A","N/A","N/A",
"291","","    ENCYCLOPEDIA.COM","2767.6105036061","3131.2416310116","3183.4293386533","2634.2246560222","3414.9735281223","3768.47060751076","4575.43832408816","4061.79656737914","4599.58048528828","4228.63936228445","N/A","N/A","N/A","N/A","N/A",
"292","","    HIGHBEAM.COM","1993.4949188073","3240.18410946","4415.679990793","5540.6670583809","5627.3564372285","5725.12431628751","5909.45229271256","5102.65750992228","4387.275607537","3958.7527500343","N/A","N/A","N/A","N/A","N/A",
"293","","    ICARITO.CL","883.2111219679","739.2492820597","674.8551346132","366.5097401647","254.0546958906","370.20489080652","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"294","","    LIFE123.COM","119.5791528585","46.667186716","213.125533552","266.5292514729","95.1008522777","317.22574374205","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"295","","    LOVEPOEMSANDQUOTES.COM","731.8859171592","718.9148326857","685.4168363411","892.6039482357","779.6719807798","1207.01176160002","776.49774075052","842.83220704986","980.33069549466","783.4300117204","N/A","N/A","N/A","N/A","N/A",
"296","","    Lycos Europe Lycos iQ","3824.0122485789","3880.6120223319","3798.2417224314","3326.7667305678","3357.8488284695","3517.441389254","3819.66483470976","3518.81742906256","3632.90541757514","3390.269810494","3687.03421214836","3857.30263398865","4461.73165369134","4047.86313049833","N/A",
"297","","    RECAPTCHA.NET","686.4321577383","694.9785672799","920.7674496709","1087.8369515515","689.289563917","679.86747748422","650.9095293478","683.12721009914","588.89284304724","580.8316682088","689.80042006936","785.52413106234","N/A","N/A","N/A",
"298","","    WEBMATH.COM","286.319920649","252.9706895676","229.3569001834","279.4892501066","314.2974205437","378.27976651167","307.45448434584","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"299","","    WINDOWSLIVETRANSLATOR.COM","645.0465232823","733.0732840071","894.6983143009","807.2275222948","1204.2217963111","1311.56924600448","406.31066506776","278.54542882202","271.9536426898","N/A","N/A","N/A","N/A","N/A","N/A",
"300","","    YOURDICTIONARY.COM","1738.5399986153","1795.2500841413","1791.807438296","1876.4103762996","2229.102366473","2294.71664497868","2281.92472526868","2137.71500800821","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"Media Metrix 2.0 Legend","","","","","","",
"[P]         Property","","","","","","",
"[M]         Media Title","","","","","","",
"[C]         Channel","","","","","","",
"[S]         Subchannel","","","","","","",
"[G]         Group","","","","","","",
"[SG]         Subgroup","","","","","","",
"[E]         Custom Entity","","","","","","",
"[N]         Ad Network","","","","","","",
"[A#]         Alternate Rollup","","","","","","",
"[X1]         Extended Network","","","","","","",
"(H)         Full Hybrid - Used to identify entities that are measured and reported completely based on Panel-Centric Hybrid (Panel + Census) measurement.","","","","","","",
"(h)         Partial Hybrid - Used to identify entities with at least one child entity that is Full Hybrid, but not all.","","","","","","",
"w/History         Trend combines media previously reported under different parent and/or different level.","","","","","","",
"*         Indicates that the entity has assigned traffic to certain pages in the domain to other entities","","","","","","",
"**         Indicates that the entity is an advertising network.","","","","","","",
"(v)         Indicates that the advertising network has been verified by comScore.","","","","","","",
"...         Indicates data used fell below minimum reporting standards and/or data not available.","","","","","","",
"N/A         Indicates data is not available in the data set for reporting for the specified time period.","","","","","","",
"#         Caution - small base may result in unstable projection.","","","","","","",
"##         Directional purposes only - base too unstable for reliable projection.","","","","","","",
" ","","","","","","",
"Details on minimum reporting standards are located at: http://mymetrix.comscore.com/mmx/definitions_minreportingstandards.asp","","","","","","",

