"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: July 2011 - September 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 10/30/2012","","","","","",""

"","","","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012"
"339","[M]","    USPS.COM (w/ history)","13,454","13,195","12,867","13,099","12,742","16,953","14,704","14,116","13,698","13,052","12,800","12,679","13,526","14,642","13,086"
"340","[P](U)","    Classified Ventures","13,694","13,173","12,206","11,737","11,474","10,618","13,275","12,933","13,419","13,451","13,667","12,733","13,254","14,361","13,072"
"341","[P]","    KDDI Corporation","13,069","12,925","13,728","15,303","12,715","12,790","13,389","13,121","13,898","12,477","12,863","12,386","12,327","11,825","12,927"
"342","[P](u)","    Yomiuri Group","8,226","8,949","8,681","9,039","8,053","8,478","8,864","7,934","8,239","8,124","8,980","8,964","9,318","9,392","12,911"
"343","[P](u)","    Kayak.com Network","13,457","12,188","12,340","12,404","11,235","12,012","14,596","13,827","14,887","13,380","13,493","14,512","15,915","14,584","12,734"
"344","[P](U)","    Ancestry.com, Inc.","7,743","7,730","8,353","8,206","7,939","7,663","8,367","8,096","7,872","8,228","8,643","10,425","10,137","10,479","12,690"
"345","[M]","    LIVEINTERNET.RU (w/ history)","11,037","10,495","11,006","12,620","13,269","15,339","15,426","14,815","15,296","13,571","13,268","12,365","11,152","11,773","12,689"
"346","[P](U)","    Ziff Davis","8,543","9,615","9,836","11,169","11,718","11,210","10,438","10,512","11,143","10,232","9,972","11,121","11,400","12,130","12,614"
"347","[M](u)","    Sony Music Entertainment","12,827","12,967","12,739","13,366","14,858","15,370","14,136","15,622","14,184","13,859","13,192","11,291","11,425","12,169","12,572"
"348","[P]","    Reed Elsevier Group","11,318","10,787","12,412","13,557","12,927","11,339","13,488","14,151","15,803","15,748","16,274","13,348","12,843","13,560","12,563"
"349","[P](u)","    Toshiba Corp","8,689","8,924","9,134","10,485","10,582","11,785","11,675","11,471","12,288","11,845","11,545","12,349","13,123","12,088","12,556"
"350","[M](U)","    MILLIYET.COM.TR","9,521","9,426","9,123","10,392","9,949","11,152","12,108","11,560","12,092","11,885","12,628","13,287","13,027","12,652","12,478"
"351","[P]","    LG Group","12,255","12,220","13,972","15,186","14,355","15,849","15,180","12,392","12,137","12,117","12,975","12,544","12,936","12,239","12,465"
"352","[P]","    Verlagsgruppe Georg von Holtzbrinck","19,380","19,862","21,416","22,634","22,381","20,480","21,753","21,486","21,552","20,637","21,265","18,441","11,519","11,030","12,460"
"353","[P](U)","    Move, Inc. Real Estate Sites","16,549","15,770","14,257","12,471","13,138","12,169","14,272","14,221","13,747","12,151","12,439","11,553","12,159","12,660","12,345"
"354","[P](u)","    GiantRealm","20,795","19,906","18,144","19,568","18,028","18,543","19,303","18,739","17,354","15,114","15,262","14,769","13,692","12,558","12,299"
"355","[P]","    McDonald's","9,724","9,033","11,535","17,283","13,491","10,642","14,849","13,319","12,487","13,196","12,274","12,741","11,848","12,892","12,287"
"356","[P](U)","    24H.COM.VN","6,730","6,812","9,609","9,956","10,105","10,246","10,798","10,926","12,183","11,373","10,737","12,175","11,111","11,460","12,271"
"357","[P]","    Indian Railways","8,940","9,232","8,997","9,852","9,683","10,328","10,414","11,449","12,772","12,058","12,897","12,416","12,469","12,169","12,236"
"358","[M]","    EASTMONEY.COM","12,416","13,510","12,718","13,650","14,626","13,369","13,598","14,602","15,434","12,614","13,861","13,397","12,536","12,921","12,150"
"359","[P]","    Deutsche Post AG Sites","10,123","10,389","10,985","11,753","12,778","13,642","12,493","11,210","11,724","10,931","11,535","11,667","12,059","11,223","12,119"
"360","[P]","    BAIXING.COM","13,670","14,298","15,512","13,239","10,602","11,660","7,541","12,368","13,559","11,728","11,770","11,979","14,378","12,656","12,116"
"361","[M](U)","    HURRIYET.COM.TR","10,030","10,349","9,634","11,133","10,836","11,519","11,365","10,581","10,880","10,230","11,268","11,783","11,771","12,174","12,102"
"362","[P]","    L'Oreal Sites","13,291","10,857","11,390","12,908","12,179","12,038","11,009","12,743","14,196","12,785","12,503","12,309","12,473","11,448","12,087"
"363","[P]","    MIXI, Inc.","13,251","13,866","14,045","14,600","14,080","14,330","14,495","13,949","14,486","13,815","13,865","13,435","12,961","12,619","12,081"
"364","[P]","    Nike","11,766","13,263","10,775","11,557","12,623","13,108","12,235","12,856","15,053","14,336","14,788","13,053","15,861","15,275","12,054"
"365","[M]","    GAZETA.PL","11,383","11,588","12,034","12,376","12,633","12,482","13,332","12,898","13,203","10,502","10,910","11,565","11,570","11,648","12,036"
"366","[P]","    Impress Group","10,373","10,237","11,592","12,579","11,526","11,383","12,097","11,091","12,144","10,752","12,189","11,080","11,099","10,592","11,991"
"367","[P](U)","    HealthGrades","11,006","13,666","11,290","10,550","9,779","9,916","11,839","11,907","12,533","11,705","13,009","12,052","11,729","12,849","11,940"
"368","[P]","    Infospace Network","12,031","11,001","10,627","11,494","10,765","8,981","9,370","8,877","11,048","10,186","8,717","9,962","11,475","10,344","11,919"
"369","[P]","    Yum! Brands Inc.","12,185","10,789","10,910","11,193","10,199","14,628","15,255","14,358","13,156","17,675","14,918","12,908","14,037","12,617","11,896"
"370","[P]","    Internet Initiative Japan","9,266","10,372","9,938","10,644","10,333","9,663","10,553","9,887","10,524","10,082","10,624","11,088","11,279","11,215","11,853"
"371","[P]","    Ford Motor Company","13,597","12,976","15,899","15,494","16,094","14,809","13,178","15,768","18,178","13,516","15,696","11,500","13,478","11,955","11,794"
"372","[P]","    Groupe Credit Agricole","11,595","11,855","11,732","12,023","11,308","11,099","12,464","11,716","12,066","11,903","12,767","12,240","12,022","11,824","11,747"
"373","[P]","    Unister GmbH","10,422","9,852","9,177","9,389","9,241","9,520","12,773","11,205","11,836","11,657","11,535","11,401","12,692","12,324","11,734"
"374","[P]","    LOWES.COM","10,397","10,090","10,086","10,414","11,565","10,426","9,771","10,015","11,494","12,055","13,063","12,364","11,756","11,724","11,718"
"375","[P]","    Kohls Corporation","8,282","9,627","9,824","10,201","16,628","15,999","9,177","9,440","9,901","9,526","9,372","9,169","10,376","11,517","11,690"
"376","[P](U)","    LEGACY.COM*","10,164","10,891","10,491","10,757","10,539","10,474","12,584","11,295","11,981","11,147","11,047","11,115","11,828","12,342","11,687"
"377","[P]","    Sprint Nextel Corporation","13,428","12,199","11,186","14,222","13,052","14,847","12,060","11,673","13,140","9,836","11,138","14,670","10,888","10,671","11,643"
"378","[P]","    LVMH Sites","10,102","9,678","10,720","11,834","12,303","14,719","12,153","10,814","12,749","12,232","12,857","11,951","10,896","10,285","11,635"
"379","[P]","    NK.PL","18,168","18,546","18,599","19,120","18,778","17,929","17,209","16,268","15,431","12,810","12,691","12,029","12,051","11,825","11,595"
"380","[P]","    Toysrus Sites","9,961","9,817","10,966","13,633","23,373","23,975","10,573","9,049","9,720","9,383","9,081","9,158","10,031","10,789","11,572"
"381","[P]","    VeryCD","13,004","13,738","13,272","14,598","15,233","16,113","19,380","18,356","18,483","15,075","14,373","12,854","13,366","11,895","11,546"
"382","[P]","    Grupo Santander","9,843","10,176","10,483","11,864","10,851","11,650","11,501","10,816","11,979","11,277","11,879","11,475","11,636","11,422","11,527"
"383","[P]","    News International","10,136","11,113","9,656","10,368","9,842","9,223","10,492","10,155","10,090","10,178","10,803","11,393","10,670","11,859","11,497"
"384","[P]","    Honda","9,615","9,652","10,611","11,719","9,786","9,686","11,030","12,248","12,528","11,670","12,265","11,921","11,217","11,380","11,482"
"385","[P]","    La Poste","9,968","10,614","10,467","12,183","13,322","11,726","12,311","10,618","10,872","10,824","11,772","11,912","11,899","11,337","11,464"
"386","[P]","    SENDSPACE.COM","8,471","8,259","8,714","8,850","8,542","8,108","9,058","10,532","11,405","11,504","11,523","11,356","11,650","11,401","11,462"
"387","[M]","    Qip","13,644","14,777","15,234","15,810","15,738","16,340","14,825","14,220","16,160","14,195","13,527","11,999","10,680","10,427","11,385"
"388","[P](U)","    PBS","6,801","8,389","12,304","12,997","12,624","10,813","12,952","13,941","12,975","12,165","12,704","9,302","8,570","9,152","11,309"
"389","[P](U)","    CBC-Radio Canada Sites","9,104","10,153","10,782","10,906","10,393","9,843","11,197","11,109","11,414","10,410","10,252","10,933","9,653","10,377","11,295"
"390","[P]","    Onlinedown Sites","10,152","8,644","9,731","11,734","11,173","12,837","11,857","14,070","15,054","12,613","10,522","10,208","13,291","11,912","11,258"
"391","[P](u)","    Postmedia Network","11,421","11,590","12,016","12,103","12,006","12,944","13,782","12,921","13,252","12,424","12,353","13,081","11,618","11,780","11,252"
"392","[P]","    Sanoma Group","11,192","11,049","10,612","10,951","11,173","11,398","11,069","11,421","11,583","11,477","11,572","11,297","11,082","11,115","11,236"
"393","[M]","    TISTORY.COM","13,277","14,391","15,406","16,247","16,002","16,224","15,926","14,261","13,046","12,929","12,929","11,446","12,855","11,867","11,224"
"394","[P]","    Grupo Carso","10,025","10,528","10,392","11,290","10,077","10,458","10,092","9,988","10,801","10,051","11,963","12,110","11,982","12,092","11,153"
"395","[P]","    Zazzle","7,436","7,293","7,602","9,390","9,840","11,523","9,831","10,523","10,407","10,335","11,271","10,301","11,040","10,894","11,138"
"396","[P]","    NHK Group","8,403","9,506","10,512","9,611","9,671","10,312","9,992","8,858","8,737","9,762","9,852","10,769","11,007","11,110","11,098"
"397","[P]","    InnoGames GmbH","8,472","7,951","8,587","8,443","7,846","7,520","8,573","8,869","8,048","7,536","6,957","7,011","9,186","9,640","11,011"
"398","[P]","    Staples.com Sites","9,140","11,120","9,283","9,337","11,759","11,193","11,010","9,908","9,187","8,705","9,422","9,041","10,861","12,336","10,988"
"399","[P]","    eMule (App)","18,475","18,095","17,745","17,973","17,295","18,059","20,362","19,099","16,926","15,092","14,405","13,337","12,999","12,147","10,978"
"400","[P]","    NIKKEI","7,736","7,551","9,433","9,518","8,556","8,440","8,992","8,547","8,853","8,329","9,298","8,495","8,928","9,161","10,942"
"401","[P]","    Bigpoint","13,771","15,108","14,251","14,669","14,494","16,325","15,695","13,616","13,231","13,691","14,800","13,097","15,312","12,532","10,942"
"402","[P]","    Softissimo","6,343","7,207","9,632","11,038","10,886","10,215","11,505","11,328","11,707","10,987","11,739","10,158","8,837","8,687","10,935"
"403","[P]","    VistaPrint Sites","9,155","9,531","10,325","11,319","13,109","13,519","11,812","10,770","10,633","10,107","10,620","10,005","9,808","10,182","10,922"
"404","[P](u)","    Naukri","9,154","8,111","8,269","7,777","8,797","8,414","8,898","8,754","9,431","9,822","11,118","11,700","11,752","11,413","10,912"
"405","[P](U)","    Mattel Sites","10,322","11,049","11,153","12,579","14,680","14,768","11,947","11,036","10,798","10,864","10,420","10,760","12,534","11,433","10,896"
"406","[P]","    NIC.IN","9,022","8,718","7,959","7,232","8,385","8,491","9,308","10,233","11,105","10,968","15,044","14,200","12,252","11,820","10,892"
"407","[P](u)","    Batanga","7,089","7,785","7,261","7,862","8,690","8,543","8,794","8,244","8,387","8,224","8,812","5,671","8,751","10,572","10,858"
"408","[P]","    Cisco Systems, Inc.","7,766","8,006","9,140","10,121","9,556","9,590","10,309","10,445","10,551","10,193","10,652","11,303","11,157","10,589","10,854"
"409","[P]","    ARD Sites","11,732","12,026","12,613","12,882","12,386","11,841","12,832","11,069","10,445","10,008","10,960","11,856","10,832","11,676","10,846"
"410","[P]","    Experian Interactive","13,862","14,040","14,819","15,663","13,079","12,609","18,165","11,972","11,917","11,464","10,426","9,410","10,243","10,071","10,824"
"411","[P]","    Groupe SNCF","11,507","10,872","10,419","11,786","10,328","10,376","11,094","10,928","11,580","10,993","10,889","11,261","12,223","10,810","10,821"
"412","[M](u)","    WUNDERGROUND.COM","14,055","17,145","14,705","13,630","12,646","12,187","14,215","13,582","14,138","13,154","13,601","12,375","12,572","13,723","10,801"
"413","[P]","    Fairfax Media","9,626","9,886","9,942","10,613","9,739","9,108","10,498","10,185","10,655","10,306","10,959","10,390","10,346","11,307","10,764"
"414","[P]","    The Royal Bank Of Scotland","9,637","10,196","10,188","11,063","10,131","10,386","10,254","10,433","10,819","10,419","10,549","11,222","10,857","10,042","10,717"
"415","[P]","    DUOTE.COM","7,120","8,032","7,842","9,712","10,455","11,257","9,140","11,662","12,140","9,982","8,323","8,974","11,504","10,607","10,702"
"416","[P]","    JCPenney Sites","12,467","12,950","13,077","14,693","20,113","18,907","13,147","13,322","12,873","10,823","11,252","10,469","11,249","11,980","10,688"
"417","[P]","    Cyworld","17,924","19,686","21,714","20,184","18,910","19,455","19,642","16,479","14,509","14,345","14,040","12,739","12,418","12,061","10,655"
"418","[P]","    SkyCN","12,929","11,508","12,941","14,566","13,171","14,792","14,002","13,722","15,368","12,620","10,586","10,163","11,933","10,920","10,604"
"419","[P]","    Barnes & Noble","9,216","10,757","9,013","8,712","11,461","15,183","13,129","10,892","10,823","10,518","11,205","9,749","9,280","11,141","10,601"
"420","[P]","    Globe7","14,210","14,281","15,961","16,975","15,360","14,562","13,910","13,500","15,101","15,610","14,342","14,035","12,315","13,845","10,600"
"421","[P]","    Mainichi Shimbun","11,688","12,074","12,645","12,238","12,267","12,379","11,659","10,690","12,058","11,374","12,155","11,688","11,351","11,477","10,565"
"422","[P]","    Groupe Amaury","9,791","9,696","10,546","10,934","10,777","10,903","12,841","11,273","11,419","11,470","12,751","12,341","11,173","11,277","10,557"
"423","[P]","    Asahi Shimbun","11,890","11,567","12,620","12,499","12,589","10,629","9,931","8,450","9,232","9,976","9,000","9,514","10,418","12,088","10,548"
"424","[P]","    Gap, Inc.","8,642","10,378","9,807","10,235","14,200","12,822","9,135","9,403","10,060","9,305","10,328","10,164","10,358","10,953","10,540"
"425","[P]","    SWEETIM.COM","13,850","19,461","17,219","22,134","17,119","17,225","7,142","12,779","1,517","875","1,411","681","3,158","1,021","10,536"
"426","[P]","    TGBUS.COM","6,091","6,096","6,095","7,277","6,949","7,327","10,553","11,620","11,263","9,676","9,675","9,935","10,878","10,842","10,520"
"427","[P](u)","    XE.COM","7,657","8,384","8,834","8,456","8,404","8,425","9,111","8,485","8,528","7,732","9,113","11,590","11,397","11,172","10,507"
"428","[M](U)","    E! Online (w/ history)","9,486","12,118","9,956","8,643","9,230","8,968","9,035","9,417","8,558","8,175","8,443","7,538","9,421","10,471","10,506"
"429","[P]","    Lloyds Banking Group plc","9,658","9,368","9,417","10,051","9,757","9,904","10,051","9,668","10,000","10,213","10,050","10,006","10,370","9,383","10,484"
"430","[P](U)","    Source Interlink Companies","11,269","11,393","11,058","10,420","9,650","9,577","11,303","11,248","11,795","11,699","11,593","10,369","10,214","10,896","10,434"
"431","[P]","    FILEHIPPO.COM","8,473","8,904","9,369","11,433","9,675","10,336","10,900","9,974","10,530","9,489","11,362","10,522","11,109","10,956","10,396"
"432","[C](U)","    TOPIX.COM","11,836","11,478","10,562","10,015","9,423","9,427","9,900","8,990","9,722","8,907","9,798","9,585","9,993","10,906","10,299"
"433","[P](u)","    Dogan Online","7,993","8,745","9,070","10,250","10,108","10,336","9,912","9,150","9,232","10,078","10,795","9,906","10,091","9,979","10,271"
"434","[P](u)","    Department of Commerce","8,533","12,899","10,443","9,448","8,949","8,273","10,019","10,018","10,295","10,060","9,510","9,971","10,018","12,815","10,176"
"435","[P]","    WIKIMAPIA.ORG","12,757","12,324","12,833","10,641","8,531","10,021","11,220","9,985","11,197","10,941","11,988","11,102","10,828","10,435","10,155"
"436","[P]","    ARMORGAMES.COM (w/ history)","13,647","13,952","12,828","13,924","13,019","14,951","14,563","13,259","12,869","13,227","12,753","12,991","13,260","12,334","10,141"
"437","[P]","    Sankei Shimbun","10,404","11,158","11,618","11,075","10,507","9,728","9,545","8,943","9,755","9,258","9,644","9,748","10,597","10,744","10,138"
"438","[M]","    INTERIA.PL","8,960","9,131","9,437","9,860","9,448","9,319","9,930","9,807","9,956","10,108","10,645","10,669","9,947","10,121","10,123"
"439","[M]","    OVERSTOCK.COM","8,567","8,912","9,744","9,740","12,546","12,533","10,491","9,749","9,143","8,900","8,581","8,807","9,379","10,419","10,001"
"440","[P](U)","    MyLife.com Sites","18,595","19,205","16,979","14,731","12,253","12,321","12,711","12,657","12,380","12,561","12,227","10,885","11,921","11,523","9,985"
"441","[P]","    LIVESCORE.COM","5,565","9,399","11,427","11,382","10,601","11,114","11,141","10,465","11,228","11,487","9,369","8,619","4,946","7,838","9,962"
"442","[P]","    freenet AG","9,571","12,637","12,808","12,366","11,341","11,000","13,507","12,503","12,156","11,226","11,348","10,385","10,330","11,028","9,961"
"443","[P]","    Vuze Sites","11,484","11,043","10,804","11,319","10,863","10,997","11,462","11,624","11,442","11,182","11,305","10,940","10,795","10,324","9,959"
"444","[P]","    Groupe Casino","11,428","12,409","11,440","12,476","13,798","15,462","15,740","12,760","12,479","12,040","10,681","9,790","10,991","11,270","9,957"
"445","[P](U)","    E.W. Scripps","8,359","9,102","8,344","8,098","8,165","7,923","8,653","8,591","9,141","8,756","9,995","10,113","9,864","10,289","9,949"
"446","[P]","    QIANQIAN.COM","14,236","13,419","14,700","16,653","15,685","17,780","18,077","17,319","18,967","16,011","14,943","13,467","15,342","10,972","9,910"
"447","[P](u)","    UGO Entertainment","24,499","14,773","12,626","13,866","13,117","14,096","13,416","12,335","12,770","11,458","12,347","11,741","12,627","11,389","9,910"
"448","[P](u)","    Groupe Spir Communication","9,127","9,378","9,344","9,803","9,825","8,974","10,214","9,715","10,388","9,810","10,126","8,868","9,414","8,896","9,879"
"449","[P]","    Kingfisher","13,970","13,635","14,598","15,365","18,653","19,070","17,424","9,335","10,076","9,978","10,625","9,335","10,306","10,091","9,867"
"450","[P]","    Nestle","8,483","9,226","9,302","9,994","10,675","10,707","8,225","8,405","8,519","9,211","10,307","10,298","10,425","9,861","9,842"
"451","[P]","    Sparkassen-Finanzgruppe","8,251","8,310","8,337","8,781","9,008","8,632","9,018","8,546","9,132","9,097","9,344","9,398","9,839","9,571","9,840"
"452","[P]","    Lojas Americanas","9,529","9,556","9,574","10,219","10,635","11,297","10,846","9,474","10,232","9,900","10,472","9,781","10,177","9,788","9,820"
"453","[P]","    Hyundai Kia Automotive Group","8,860","9,062","11,167","11,962","10,418","10,314","11,446","10,663","11,301","10,583","10,666","9,655","9,085","8,081","9,797"
"454","[P](u)","    Reader's Digest Digital Network","25,644","26,548","27,905","31,026","34,443","38,488","31,247","29,816","29,779","7,814","8,611","8,006","9,281","9,859","9,788"
"455","[P](u)","    Grupo Televisa","8,266","8,688","8,824","9,614","8,914","7,910","8,952","8,233","9,605","8,608","9,688","10,077","9,555","10,605","9,758"
"456","[P]","    Yellow Pages Group","11,360","10,481","10,891","10,990","11,016","9,738","9,466","9,014","9,524","9,646","10,129","9,704","10,022","10,382","9,754"
"457","[M]","    VNEXPRESS.NET","5,308","8,161","8,376","8,711","9,103","9,079","8,899","8,903","9,489","9,570","9,695","9,956","10,014","10,015","9,730"
"458","[P](u)","    KONGREGATE.COM","10,769","11,176","9,903","10,657","11,144","12,032","13,041","11,715","12,089","11,760","11,627","11,858","12,119","11,851","9,709"
"459","[P]","    Barclays Bank","7,873","7,955","7,830","8,632","9,138","8,473","9,409","9,982","10,180","8,462","8,422","8,460","8,728","9,304","9,706"
"460","[P]","    TIMEANDDATE.COM","7,538","8,425","8,385","9,913","9,472","8,765","9,842","8,418","9,926","8,674","9,711","9,286","9,272","10,408","9,640"
"461","[P]","    Roularta Media Group","7,511","7,113","8,053","8,870","8,681","8,188","9,913","8,921","10,057","9,833","11,430","11,725","9,244","8,281","9,639"
"462","[P]","    CRI Online Sites","5,588","5,590","5,798","6,359","6,802","7,238","7,827","8,167","9,505","7,810","8,986","8,051","9,409","9,357","9,618"
"463","[P]","    Nintendo Co.","10,205","9,929","9,290","11,030","14,045","14,792","11,050","11,306","11,855","11,501","10,009","11,720","11,673","11,326","9,588"
"464","[P]","    Match.com Sites","7,446","6,753","6,851","7,286","6,835","9,398","11,483","10,781","10,469","10,034","9,572","9,710","9,909","10,163","9,553"
"465","[P](u)","    ROGERS","9,064","10,356","10,078","10,701","10,686","10,705","10,578","10,997","11,081","10,827","10,205","9,552","9,073","9,208","9,534"
"466","[P]","    Southwest Airlines Co.","9,849","8,677","8,483","8,985","9,196","7,798","8,599","9,391","10,980","8,615","9,096","9,730","10,501","10,959","9,514"
"467","[P]","    ARCHIVE.ORG","6,040","8,000","7,948","7,742","9,133","10,331","11,491","10,531","8,243","7,502","8,583","7,476","8,247","8,813","9,510"
"468","[P](U)","    TAGGED.COM","11,778","11,631","11,887","11,804","11,311","10,919","10,758","10,071","10,228","9,612","9,900","10,093","9,770","9,469","9,479"
"469","[P]","    Virgin Group","11,680","11,891","11,628","11,798","11,978","11,845","13,431","12,175","13,002","11,304","8,637","9,508","9,075","9,272","9,455"
"470","[P]","    PriceGrabber","8,937","9,800","9,077","10,558","11,002","10,750","10,746","9,783","8,905","9,758","10,108","9,294","10,913","10,640","9,452"
"471","[P]","    Home Retail Group","8,986","9,339","9,174","10,264","11,801","13,037","10,104","8,515","8,858","8,913","9,432","9,279","9,962","10,545","9,444"
"472","[P]","    QIDIAN.COM","9,994","9,704","8,643","10,275","9,552","9,769","10,844","11,158","10,579","9,459","10,338","8,888","10,157","11,728","9,436"
"473","[P]","    Tesco Stores","7,156","7,771","7,985","8,944","11,013","10,710","8,465","7,756","8,098","9,015","9,679","9,117","9,037","9,853","9,414"
"474","[P]","    MONOGRAFIAS.COM","7,263","10,979","12,687","12,843","12,260","6,795","7,180","10,017","11,920","9,657","11,757","9,296","6,568","7,867","9,395"
"475","[M]","    Azureus (App)","10,798","10,384","10,297","10,744","10,321","10,373","10,943","10,884","10,826","10,490","10,717","10,301","10,219","9,744","9,361"
"476","[P]","    Costco Wholesale Corporation","7,499","7,973","7,479","7,876","9,808","10,069","8,562","8,154","8,002","8,229","8,461","8,625","8,557","9,473","9,309"
"477","[P](U)","    TV Guide Online Network","8,380","8,977","11,203","9,478","8,748","9,271","9,621","9,159","8,668","8,219","8,725","8,217","8,014","8,043","9,305"
"478","[P]","    NERO.COM","5,127","5,563","5,754","7,842","7,212","8,794","8,141","7,343","7,591","7,232","7,745","7,348","8,304","8,133","9,288"
"479","[P]","    XICI.NET","6,624","8,261","3,304","4,132","4,214","8,276","9,842","12,069","8,542","7,321","6,749","6,934","8,173","8,662","9,271"
"480","[M]","    ALLABOUT.CO.JP","8,995","9,134","9,602","9,952","9,917","9,619","10,153","9,629","9,867","9,275","10,044","9,539","9,768","9,120","9,237"
"481","[P]","    DIRECT.GOV.UK","7,799","9,080","8,304","9,094","8,514","6,637","9,501","8,979","9,131","8,390","8,967","8,708","8,965","8,632","9,222"
"482","[P]","    PSA Peugeot Citroën","8,145","7,079","9,950","8,763","9,215","7,708","8,344","9,202","10,270","9,681","9,719","10,128","8,533","7,620","9,219"
"483","[P](U)","    YAM.COM","6,103","5,978","6,457","7,109","6,836","6,574","6,819","6,390","7,254","9,006","9,597","9,391","8,991","9,577","9,194"
"484","[M](U)","    USMAGAZINE.COM","10,107","12,683","10,864","12,602","11,195","11,175","10,433","10,236","9,831","9,705","9,202","8,777","10,400","10,380","9,163"
"485","[P]","    Big Fish Games Sites","11,351","10,627","10,355","10,230","10,391","11,019","11,937","11,206","12,007","10,897","10,528","11,515","11,851","10,292","9,130"
"486","[P]","    KOOORA.COM","9,805","9,963","11,076","11,148","11,529","11,899","12,475","11,471","11,473","11,647","10,482","10,941","8,575","9,184","9,115"
"487","[P]","    51JOB.COM","7,726","7,498","7,250","8,191","9,298","8,012","6,567","14,349","12,700","8,859","9,426","8,706","9,134","8,438","9,093"
"488","[P]","    Travian Games","10,846","7,049","7,992","8,687","7,676","17,089","10,434","6,318","5,978","6,226","5,622","6,311","9,635","10,152","9,065"
"489","[P]","    TUI Group","12,531","10,944","8,836","9,140","8,341","8,288","13,165","10,192","10,238","10,569","10,845","11,105","13,155","10,497","9,053"
"490","[P](u)","    Bauer Consumer Media","6,727","6,642","6,264","7,191","7,356","7,424","7,626","7,121","7,117","7,171","8,162","7,406","6,971","6,889","9,044"
"491","[P]","    PANDORA.TV","9,403","9,802","9,629","9,860","9,948","9,911","9,747","9,227","8,964","8,393","8,411","8,303","7,949","9,466","9,006"
"492","[P]","    HC International Inc.","5,643","5,911","7,051","7,232","8,641","8,359","9,815","9,978","11,146","8,300","8,121","7,473","9,657","10,348","8,982"
"493","[P]","    IKM Internet Kaufmarkt","8,177","8,289","7,672","7,985","7,706","6,901","8,178","8,209","7,885","7,299","8,638","8,107","8,521","8,359","8,976"
"494","[M](u)","    BLOGCU.COM","11,531","11,835","11,392","11,751","12,201","14,471","13,770","12,391","12,624","11,953","11,273","9,816","9,531","8,918","8,931"
"495","[M](U)","    TUENTI.COM","9,470","8,052","7,877","7,557","8,010","10,235","7,549","6,555","6,848","9,363","8,953","8,679","7,691","8,542","8,868"
"496","[P]","    Le Monde Sites","8,540","8,040","8,966","10,753","10,624","10,109","10,966","8,753","10,231","9,316","11,320","10,597","8,720","8,542","8,855"
"497","[P]","    Berkshire Hathaway Inc.","8,727","8,929","8,356","8,833","9,330","8,820","9,501","8,605","8,272","8,291","8,494","8,118","9,166","8,640","8,834"
"498","[P]","    Societe Generale","8,792","9,299","9,244","9,531","9,088","9,036","9,473","8,929","8,714","7,975","8,621","8,808","8,398","8,454","8,792"
"499","[P]","    2SHARED.COM","5,110","5,188","5,659","6,172","6,083","6,593","7,450","7,451","8,034","9,494","10,462","9,630","9,642","8,732","8,785"
"500","[P]","    TD Bank Financial Group","8,008","8,403","8,005","8,343","7,899","7,914","8,150","8,075","8,093","8,125","8,088","7,984","8,038","8,428","8,775"
"501","[M](u)","    MERCHANTCIRCLE.COM (w/ history)","5,404","6,012","5,983","7,973","6,980","6,898","6,992","6,108","6,075","5,247","6,191","8,033","8,766","9,141","8,758"
"502","[P]","    BMW AG","7,292","7,666","9,161","10,924","10,568","10,129","8,415","10,291","10,871","9,428","10,000","10,172","9,169","10,216","8,749"
"503","[P]","    MAPBAR.COM","4,915","4,450","4,390","5,592","7,678","7,735","7,094","6,226","7,010","6,268","6,007","6,182","7,186","7,704","8,643"
"504","[P]","    VEOH.COM","13,543","13,526","12,887","13,275","11,994","11,757","11,814","11,609","12,062","10,352","10,003","10,294","9,924","9,908","8,625"
"505","[P]","    Domino's Pizza, Inc.","7,266","7,113","7,784","8,561","8,326","9,620","8,820","8,951","8,308","8,215","8,359","9,125","8,518","7,941","8,620"
"506","[P]","    Ryanair","9,603","9,403","8,544","8,164","7,669","6,616","8,911","7,999","8,700","9,271","9,296","9,968","10,133","9,235","8,601"
"507","[P]","    HomeAway","7,831","6,733","5,351","4,795","4,904","5,740","8,875","8,056","9,092","9,518","10,703","11,043","12,067","11,296","8,588"
"508","[M]","    Groupe PriceMinister","11,404","12,533","13,879","15,618","14,093","15,187","15,265","14,181","13,622","12,567","12,786","12,478","9,906","9,206","8,547"
"509","[M](U)","    COOKS.COM (w/ history)","10,234","10,192","9,727","10,126","11,905","13,279","11,149","9,681","8,385","8,063","7,669","7,440","8,036","8,281","8,446"
"510","[P]","    Acer Inc.","11,132","11,941","11,308","12,711","12,158","12,514","11,846","10,589","10,948","10,314","9,954","8,845","10,028","9,001","8,434"
