"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: December 2010 - February 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/20/2012","","","","","",""

"","","","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012"
"61","[P]","    craigslist, inc.","54,839","57,292","53,339","53,840","51,731","55,182","56,784","57,504","58,985","57,482","56,540","54,844","53,283","57,069","56,658"
"62","[P]","    Real.com Network","60,894","58,475","50,761","55,748","51,382","59,147","61,792","56,748","53,874","54,950","62,514","61,953","65,571","60,466","54,681"
"63","[P]","    RapidShare AG","57,790","57,364","51,591","52,396","47,485","46,578","43,961","41,874","41,593","40,554","42,854","41,703","41,215","47,682","54,462"
"64","[P]","    Deutsche Telekom","48,797","49,963","48,264","49,571","47,138","50,472","49,193","49,101","51,673","51,862","54,130","52,846","53,057","53,730","52,565"
"65","[P]","    CCM-Benchmark","45,826","48,420","44,888","44,923","40,384","44,026","42,741","40,028","44,945","46,037","51,155","50,991","51,400","55,204","52,361"
"66","[P]","    OLX Inc.","38,872","44,671","41,429","45,255","42,336","47,105","45,171","45,834","47,868","46,932","46,699","46,440","44,453","51,777","52,278"
"67","[P]","    PPStream, Inc.","51,162","57,085","58,746","57,939","57,789","60,718","61,329","61,807","60,906","58,619","59,397","58,404","53,863","52,951","52,152"
"68","[P](u)","    Alloy Digital Network","71,181","69,684","44,679","43,569","40,105","37,516","42,761","43,912","43,396","42,628","51,698","53,608","56,740","49,905","51,984"
"69","[P](u)","    Wal-Mart","63,086","47,430","40,243","40,446","40,750","42,803","44,650","48,053","50,087","49,499","58,072","73,336","72,011","54,372","50,534"
"70","[P]","    Priceline.com Incorporated","26,852","33,984","34,065","36,281","34,949","40,914","46,751","53,032","49,213","44,955","45,385","45,514","41,594","49,960","49,541"
"71","[P](u)","    Disney Online","45,011","40,303","37,259","37,539","37,051","42,310","46,272","49,450","48,569","49,744","54,156","49,620","54,765","50,119","48,404"
"72","[P](U)","    UOL","41,815","42,541","41,286","44,602","46,072","46,594","47,153","49,845","49,506","50,122","51,153","52,203","52,109","51,599","48,370"
"73","[P](u)","    Grupo Intercom","31,980","36,316","33,887","36,694","33,047","36,439","35,582","34,373","35,681","35,778","37,544","37,910","35,897","40,167","48,351"
"74","[P](U)","    Hearst Digital Media","24,268","23,824","20,811","21,885","22,001","19,684","21,861","23,182","25,336","25,726","29,420","28,826","43,119","42,439","48,051"
"75","[P](U)","    Wikia Sites","33,638","37,097","35,118","39,459","37,488","39,512","39,021","39,524","40,031","40,340","44,585","47,134","47,619","50,086","47,809"
"76","[P](U)","    Photobucket.com LLC","59,041","58,244","52,934","56,592","54,100","54,442","48,309","49,670","51,601","50,258","49,661","49,550","48,097","49,570","47,394"
"77","[P](u)","    Monster, Inc.","43,183","50,463","47,039","49,499","44,671","46,443","45,896","45,180","45,278","43,859","45,369","44,779","41,085","45,175","46,794"
