"MEDIA TREND REPORT","","","Geography : Worldwide","","","","","","MyMetrix"
"","","","Location : All Locations","","","","","","MediaMetrix 2.0"
"","","","Time Period : July 2008 - September 2009","","","","","","(c)2009 comScore, Inc"
"","","","Target : Total Audience",
"","","","Media : 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...",
"","","","Measures : Total Unique Visitors (000)",
"","","","Date : 10/26/2009",

"Items 1 to 300","",""," Jul-2008"," Aug-2008"," Sep-2008"," Oct-2008"," Nov-2008"," Dec-2008"," Jan-2009"," Feb-2009"," Mar-2009"," Apr-2009"," May-2009"," Jun-2009"," Jul-2009"," Aug-2009"," Sep-2009",
"212","[P]","ABBREVIATIONS.COM","N/A","N/A","227","274","239","236","281","327","350","367","370","300","329","344","347",
"213","[P]","SAPERE.IT","171","146","255","415","357","320","327","369","470","315","285","231","199","180","346",
"214","[P]","FREELANG.NET","174","185","250","249","289","206","204","300","217","336","267","273","272","269","344",
"215","[P]","MOLWICK.COM","121","192","209","196","170","113","139","333","344","251","298","281","146","263","344",
"216","[P]","LECTLAW.COM","341","224","440","350","284","398","320","310","333","362","369","241","300","270","340",
"217","[P]","Antiqbook","844","863","964","876","751","654","559","575","418","357","284","199","267","245","336",
"218","[P]","MADSCI.ORG","274","335","294","424","286","273","410","442","372","341","265","239","201","246","336",
"219","[P]","UNIVERSALIS.FR","137","137","369","636","644","481","584","553","551","443","387","291","147","156","336",
"220","[P]","LEXINTER.NET","180","209","259","370","247","188","355","335","485","407","331","273","298","184","331",
"221","[P]","SACRED-TEXTS.COM","224","354","275","332","328","383","281","304","450","326","349","274","288","328","327",
"222","[P]","ATLANTS.LV","52","23","107","150","175","206","184","298","312","310","303","189","127","124","326",
"223","[P]","CUCUMIS.ORG","349","274","348","288","264","314","386","375","372","369","402","312","285","330","322",
"224","[P]","PETS4YOU.COM","503","425","392","354","369","462","505","435","413","391","446","331","395","310","321",
"225","[M]","Ciao Sites (w/ history)","23,910","23,046","25,219","25,338","25,989","26,134","27,658","25,504","27,028","25,934","25,089","1,019","506","286","320",
"226","[P]","ILMAINENSANAKIRJA.FI","211","220","192","200","234","299","296","277","305","270","263","187","256","284","319",
"227","[P]","PSICOLOGIA-ONLINE.COM","266","316","362","373","365","233","242","334","388","343","279","299","262","291","319",
"228","[P]","FRENCH-LINGUISTICS.CO.UK","195","176","440","353","306","253","301","341","427","362","278","192","127","180","317",
"229","[P]","DUDEN-SUCHE.DE","134","143","205","229","248","238","399","376","324","313","261","291","243","296","314",
"230","[P]","QUECHOISIR.ORG","101","121","187","213","187","319","285","292","340","210","225","225","261","271","303",
"231","[P]","MANAGEMENTHELP.ORG","304","285","316","388","346","251","354","402","361","495","484","497","314","385","302",
"232","[P]","ALA.ORG","220","266","373","235","264","186","255","321","327","437","300","241","184","189","296",
"233","[P]","ALL-SCIENCE-FAIR-PROJECTS.COM","61","106","370","460","479","316","565","422","427","344","281","64","97","141","295",
"234","[P]","ESSAYTOWN.NET","155","82","124","153","182","229","220","313","254","276","236","141","169","182","293",
"235","[P]","U-S-HISTORY.COM","148","92","276","300","311","277","282","304","350","262","208","113","92","107","287",
"236","[P]","SOBRESITES.COM","332","378","368","321","319","240","299","325","437","354","332","253","277","283","286",
"237","[P]","YOURCHILDLEARNS.COM","N/A","169","284","229","198","155","246","274","238","206","199","189","151","174","283",
"238","[P]","SEVGILIYE.COM","N/A","N/A","N/A","N/A","225","332","329","679","407","289","247","274","280","289","283",
"239","[P]","GOGEN-ALLGUIDE.COM","243","253","202","165","282","265","248","338","318","294","236","276","306","252","282",
"240","[P]","POETS.ORG","176","203","266","361","275","300","395","409","357","559","373","194","207","178","282",
"241","[P]","KWINTESSENTIAL.CO.UK","N/A","N/A","265","222","216","329","226","321","324","260","400","290","260","219","276",
"242","[P]","NYPL.ORG","282","276","258","304","379","287","399","306","336","321","305","252","198","228","276",
"243","[P]","STROYPORTAL.RU","271","237","192","240","189","466","322","320","217","309","207","185","302","252","275",
"244","[P]","EPNET.COM","393","293","373","431","491","358","325","305","459","331","557","554","379","374","273",
"245","[P]","JEWISHVIRTUALLIBRARY.ORG","239","205","300","360","363","300","426","383","395","368","390","197","191","229","273",
"246","[C]","Virgilio Sapere","N/A","N/A","N/A","466","385","338","346","375","457","334","274","203","204","146","259",
"247","[P]","WEBNARY.COM","655","522","298","493","594","232","215","330","448","692","404","388","493","437","251",
"248","[P]","OCLC.ORG","143","191","299","179","173","164","221","352","365","366","246","183","193","131","250",
"249","[P]","ALTALEX.COM","258","174","239","253","321","218","347","317","306","315","259","240","262","201","250",
"250","[P]","NORTHPOLE.COM","183","254","819","3,613","4,128","4,596","569","344","276","254","232","144","236","188","249",
"251","[P]","TOPLUMDUSMANI.NET","N/A","N/A","N/A","N/A","427","355","281","505","462","435","311","171","148","149","244",
"252","[P]","TRANSLATED.NET","466","321","458","446","381","373","369","486","579","498","509","363","151","186","244",
"253","[P]","LIB.OH.US","247","304","366","265","245","284","361","304","357","257","354","330","229","246","242",
"254","[P]","DEXONLINE.RO","404","431","551","701","684","617","694","713","739","646","588","488","433","191","240",
"255","[P]","QUOTELAND.COM","300","361","361","450","342","369","379","366","363","187","260","132","305","216","238",
"256","[P]","PANTHEON.ORG","249","253","284","377","293","259","313","382","338","368","282","226","128","162","236",
"257","[P]","TURKCEBILGI.NET","N/A","N/A","N/A","N/A","336","323","324","444","577","508","372","259","227","295","231",
"258","[P]","AMERICANRHETORIC.COM","99","115","211","202","422","151","386","318","237","175","199","180","190","184","228",
"259","[P]","NOTAIRES.FR","221","112","234","194","211","137","221","291","216","341","224","147","147","254","223",
"260","[P]","EYEWITNESSTOHISTORY.COM","58","74","182","206","245","258","296","317","248","208","239","121","104","101","204",
"261","[P]","VITALREC.COM","200","258","269","260","245","356","250","272","273","244","245","281","255","224","203",
"262","[P]","DICODUNET.COM","210","259","460","337","355","296","245","281","416","357","222","265","210","229","201",
"263","[P]","YEMINLISOZLUK.COM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","302","244","309","211","253","181","222","196",
"264","[M]","POETRY.COM","671","1,018","746","816","716","525","495","613","444","450","407","304","311","254","195",
"265","[P]","ELITESKILLS.COM","159","97","153","202","225","283","234","297","287","294","279","142","136","123","193",
"266","[P]","VICTORIANWEB.ORG","127","83","135","187","168","302","261","265","241","375","255","143","108","91","181",
"267","[P]","NEDIR.NET","N/A","N/A","N/A","N/A","245","282","237","317","282","323","265","178","172","169","178",
"268","[P]","GRAMERIMIZ.COM","N/A","N/A","N/A","392","531","335","284","492","330","417","343","184","137","129","169",
"269","[P]","NOODLETOOLS.COM","32","43","122","210","357","316","185","257","377","285","198","103","36","65","168",
"270","[P]","IPL.ORG","163","211","311","404","310","231","345","348","357","350","326","207","151","129","163",
"271","[P]","THEOI.COM","70","102","163","223","124","150","204","278","233","189","126","90","100","104","157",
"272","[P]","CUMMINGSSTUDYGUIDES.NET","71","42","144","131","137","110","183","276","184","167","198","93","45","83","155",
"273","[P]","LEARNENGLISH.ORG.UK","N/A","295","429","329","398","231","394","415","371","153","119","122","132","167","153",
"274","[P]","LUMINARIUM.ORG","122","166","225","167","151","132","167","301","235","195","206","125","112","71","147",
"275","[P]","PRIVATESOZLUK.COM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","283","300","181","167","130","158","122","130",
"276","[P]","BIYOGRAFI.INFO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","282","324","254","202","118","146","134","125",
"277","[P]","YAPPR.COM","N/A","202","236","272","370","236","338","354","267","123","90","117","122","99","117",
"278","[P]","ESSAYFINDER.COM","86","173","263","383","369","252","296","319","409","410","199","119","143","56","117",
"279","[P]","PLANETADISSER.COM","126","81","409","681","570","708","513","378","358","349","293","198","59","18","116",
"280","[P]","TDK.ORG.TR","N/A","N/A","N/A","N/A","275","194","230","408","394","262","244","129","177","170","104",
"281","[P]","ARTICLESNATCH.COM","N/A","N/A","272","286","240","244","257","361","438","476","793","735","1,159","846","95",
"282","[P]","LKWDPL.ORG","55","43","95","99","109","107","156","352","253","163","108","84","40","69","74",
"283","[P]","EXPERTSFORGE.COM","N/A","N/A","N/A","N/A","N/A","63","116","294","140","120","64","26","15","14","29",
"284","[C]","Abacho Translator","513","596","709","585","710","586","610","596","685","560","534","427","371","29","5",
"285","[P]","GROUNDHOG.ORG","24","1","N/A","0","13","2","58","386","6","2","2","4","8","11","3",
"286","[P]","ALMANAC.COM","472","346","520","426","485","374","469","445","359","286","340","284","258","294","N/A",
"287","[M]","BOOKRAGS.COM","2,038","2,462","3,109","3,529","3,464","3,578","4,288","4,063","4,447","3,567","3,614","2,865","N/A","N/A","N/A",
"288","[P]","CLIFFSNOTES.COM","377","583","873","991","750","726","735","787","955","824","884","555","437","551","N/A",
"289","[M]","DISCOVERMAGAZINE.COM","N/A","236","253","321","327","303","364","349","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"290","[P]","EDU-ZONE.NET","73","27","299","718","940","810","372","363","37","0","N/A","N/A","N/A","N/A","N/A",
"291","[S]","ENCARTA.COM","141","190","150","214","290","203","190","321","279","255","283","N/A","N/A","N/A","N/A",
"292","[C]","ENCYCLOPEDIA.COM","N/A","N/A","2,768","3,131","3,183","2,634","3,415","3,768","4,575","4,062","4,600","4,229","N/A","N/A","N/A",
"293","[C]","HIGHBEAM.COM","N/A","N/A","1,993","3,240","4,416","5,541","5,627","5,725","5,909","5,103","4,387","3,959","N/A","N/A","N/A",
"294","[P]","ICARITO.CL","521","847","883","739","675","367","254","370","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"295","[P]","LIFE123.COM","N/A","121","120","47","213","267","95","317","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"296","[C]","LOVEPOEMSANDQUOTES.COM","N/A","N/A","732","719","685","893","780","1,207","776","843","980","783","N/A","N/A","N/A",
"297","[P]","RECAPTCHA.NET","689","633","686","695","921","1,088","689","680","651","683","589","581","690","786","N/A",
"298","[P]","WEBMATH.COM","130","187","286","253","229","279","314","378","307","N/A","N/A","N/A","N/A","N/A","N/A",
"299","[M]","WINDOWSLIVETRANSLATOR.COM","621","530","645","733","895","807","1,204","1,312","406","279","272","N/A","N/A","N/A","N/A",
"300","[M]","YOURDICTIONARY.COM","1,362","1,341","1,739","1,795","1,792","1,876","2,229","2,295","2,282","2,138","N/A","N/A","N/A","N/A","N/A",


"Media Metrix 2.0 Legend" 

"[P]         Property" 
"[M]         Media Title" 
"[C]         Channel" 
"[S]         Subchannel" 
"[G]         Group" 
"[SG]         Subgroup" 
"[E]         Custom Entity" 
"[N]         Ad Network" 
"[A#]         Alternate Rollup" 
"[X1]         Extended Network" 
"[a1]         Advertiser Level" 
"[P1]         Product Level" 

"(H)         Full Hybrid - Used to identify entities that are measured and reported completely based on Panel-Centric Hybrid (Panel + Census) measurement." 
"(h)         Partial Hybrid - Used to identify entities with at least one child entity that is Full Hybrid, but not all." 
"w/History         Trend combines media previously reported under different parent and/or different level." 
"*         Indicates that the entity has assigned traffic to certain pages in the domain to other <a href="help.aspx?h=definitions#anchor2" target="_new">entities</a>." 
"**         Indicates that the entity is an advertising network." 
"(v)         Indicates that the advertising network has been verified by comScore." 
"...         Indicates data used fell below minimum reporting standards and/or data not available." 
"N/A         Indicates data is not available in the data set for reporting for the specified time period." 
"#         Caution - small base may result in unstable projection." 
"##         Directional purposes only - base too unstable for reliable projection." 
"Details on minimum reporting standards are located at: http://mymetrix.comscore.com/mmx/definitions_minreportingstandards.asp" 


 
comScore has made a step change to the Worldwide population estimate with July 2008 data. Please refer to http://mymetrix.comscore.com/app/ExtendedMMXUniversalFootNote.aspx for more information." 

